Disability,Region,Population,age/ave_affected,age affection
Communication Disability,Region V (Bicol Region),845718,Age: 5-19,161.0
Hearing Disability,Region V (Bicol Region),845718,Age: 5-19,99.0
Mobility Disability,Region V (Bicol Region),845718,Age: 5-19,92.0
Self-Care Disability,Region V (Bicol Region),845718,Age: 5-19,101.0
Visual Disability,Region V (Bicol Region),845718,Age: 5-19,222.0
Cognitive Disability,Region VI (Western Visayas),605584,Age: 5-19,111.0
Communication Disability,Region VI (Western Visayas),605584,Age: 5-19,139.0
Hearing Disability,Region VI (Western Visayas),605584,Age: 5-19,68.0
Mobility Disability,Region VI (Western Visayas),605584,Age: 5-19,88.0
Self-Care Disability,Region VI (Western Visayas),605584,Age: 5-19,135.0
Visual Disability,Region VI (Western Visayas),605584,Age: 5-19,163.0
Cognitive Disability,Region VI (Western Visayas),612454,Age: 5-19,107.0
Communication Disability,Region VI (Western Visayas),612454,Age: 5-19,144.0
Hearing Disability,Region VI (Western Visayas),612454,Age: 5-19,96.0
Mobility Disability,Region VI (Western Visayas),612454,Age: 5-19,96.0
Self-Care Disability,Region VI (Western Visayas),612454,Age: 5-19,166.0
Visual Disability,Region VI (Western Visayas),612454,Age: 5-19,191.0
Cognitive Disability,Region VI (Western Visayas),803083,Age: 5-19,88.0
Communication Disability,Region VI (Western Visayas),803083,Age: 5-19,114.0
Hearing Disability,Region VI (Western Visayas),803083,Age: 5-19,63.0
Mobility Disability,Region VI (Western Visayas),803083,Age: 5-19,70.0
Self-Care Disability,Region VI (Western Visayas),803083,Age: 5-19,95.0
Visual Disability,Region VI (Western Visayas),803083,Age: 5-19,119.0
Cognitive Disability,Region VI (Western Visayas),185174,Age: 5-19,74.0
Communication Disability,Region VI (Western Visayas),185174,Age: 5-19,119.0
Hearing Disability,Region VI (Western Visayas),185174,Age: 5-19,62.0
Mobility Disability,Region VI (Western Visayas),185174,Age: 5-19,65.0
Self-Care Disability,Region VI (Western Visayas),185174,Age: 5-19,91.0
Visual Disability,Region VI (Western Visayas),185174,Age: 5-19,112.0
Cognitive Disability,Region VI (Western Visayas),2524211,Age: 5-19,82.0
Communication Disability,Region VI (Western Visayas),2524211,Age: 5-19,115.0
Hearing Disability,Region VI (Western Visayas),2524211,Age: 5-19,66.0
Mobility Disability,Region VI (Western Visayas),2524211,Age: 5-19,72.0
Self-Care Disability,Region VI (Western Visayas),2524211,Age: 5-19,91.0
Visual Disability,Region VI (Western Visayas),2524211,Age: 5-19,168.0
Cognitive Disability,Region VI (Western Visayas),3174389,Age: 5-19,68.0
Communication Disability,Region VI (Western Visayas),3174389,Age: 5-19,112.0
Hearing Disability,Region VI (Western Visayas),3174389,Age: 5-19,49.0
Mobility Disability,Region VI (Western Visayas),3174389,Age: 5-19,55.0
Self-Care Disability,Region VI (Western Visayas),3174389,Age: 5-19,86.0
Visual Disability,Region VI (Western Visayas),3174389,Age: 5-19,106.0
Cognitive Disability,Region VII (Central Visayas),1365107,Age: 5-19,106.0
Communication Disability,Region VII (Central Visayas),1365107,Age: 5-19,141.0
Hearing Disability,Region VII (Central Visayas),1365107,Age: 5-19,86.0
Mobility Disability,Region VII (Central Visayas),1365107,Age: 5-19,80.0
Self-Care Disability,Region VII (Central Visayas),1365107,Age: 5-19,103.0
Visual Disability,Region VII (Central Visayas),1365107,Age: 5-19,149.0
Cognitive Disability,Region VII (Central Visayas),5085207,Age: 5-19,81.0
Communication Disability,Region VII (Central Visayas),5085207,Age: 5-19,111.0
Hearing Disability,Region VII (Central Visayas),5085207,Age: 5-19,60.0
Mobility Disability,Region VII (Central Visayas),5085207,Age: 5-19,62.0
Self-Care Disability,Region VII (Central Visayas),5085207,Age: 5-19,81.0
Visual Disability,Region VII (Central Visayas),5085207,Age: 5-19,177.0
Cognitive Disability,Region VII (Central Visayas),1406274,Age: 5-19,105.0
Communication Disability,Region VII (Central Visayas),1406274,Age: 5-19,130.0
Hearing Disability,Region VII (Central Visayas),1406274,Age: 5-19,70.0
Mobility Disability,Region VII (Central Visayas),1406274,Age: 5-19,87.0
Self-Care Disability,Region VII (Central Visayas),1406274,Age: 5-19,119.0
Visual Disability,Region VII (Central Visayas),1406274,Age: 5-19,137.0
Cognitive Disability,Region VII (Central Visayas),100457,Age: 5-19,116.0
Communication Disability,Region VII (Central Visayas),100457,Age: 5-19,150.0
Hearing Disability,Region VII (Central Visayas),100457,Age: 5-19,67.0
Mobility Disability,Region VII (Central Visayas),100457,Age: 5-19,82.0
Self-Care Disability,Region VII (Central Visayas),100457,Age: 5-19,105.0
Visual Disability,Region VII (Central Visayas),100457,Age: 5-19,127.0
Cognitive Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,87.0
Communication Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,138.0
Hearing Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,71.0
Mobility Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,79.0
Self-Care Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,92.0
Visual Disability,Region VIII (Eastern Visayas),179362,Age: 5-19,103.0
Cognitive Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,75.0
Communication Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,128.0
Hearing Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,93.0
Mobility Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,89.0
Self-Care Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,74.0
Visual Disability,Region VIII (Eastern Visayas),503495,Age: 5-19,168.0
Cognitive Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,81.0
Communication Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,124.0
Hearing Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,68.0
Mobility Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,70.0
Self-Care Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,112.0
Visual Disability,Region VIII (Eastern Visayas),2124269,Age: 5-19,146.0
Cognitive Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,75.0
Communication Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,121.0
Hearing Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,88.0
Mobility Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,82.0
Self-Care Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,145.0
Visual Disability,Region VIII (Eastern Visayas),668766,Age: 5-19,184.0
Cognitive Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,56.0
Communication Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,95.0
Hearing Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,58.0
Mobility Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,57.0
Self-Care Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,63.0
Visual Disability,Region VIII (Eastern Visayas),822095,Age: 5-19,111.0
Cognitive Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,174.0
Communication Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,125.0
Hearing Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,67.0
Mobility Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,70.0
Self-Care Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,231.0
Visual Disability,Region VIII (Eastern Visayas),444355,Age: 5-19,143.0
Cognitive Disability,Region X (Northern Mindanao),1510189,Age: 5-19,106.0
Communication Disability,Region X (Northern Mindanao),1510189,Age: 5-19,162.0
Hearing Disability,Region X (Northern Mindanao),1510189,Age: 5-19,75.0
Mobility Disability,Region X (Northern Mindanao),1510189,Age: 5-19,78.0
Self-Care Disability,Region X (Northern Mindanao),1510189,Age: 5-19,170.0
Visual Disability,Region X (Northern Mindanao),1510189,Age: 5-19,134.0
Cognitive Disability,Region X (Northern Mindanao),92431,Age: 5-19,105.0
Communication Disability,Region X (Northern Mindanao),92431,Age: 5-19,158.0
Hearing Disability,Region X (Northern Mindanao),92431,Age: 5-19,111.0
Mobility Disability,Region X (Northern Mindanao),92431,Age: 5-19,72.0
Self-Care Disability,Region X (Northern Mindanao),92431,Age: 5-19,81.0
Visual Disability,Region X (Northern Mindanao),92431,Age: 5-19,142.0
Cognitive Disability,Region X (Northern Mindanao),1095270,Age: 5-19,77.0
Communication Disability,Region X (Northern Mindanao),1095270,Age: 5-19,114.0
Hearing Disability,Region X (Northern Mindanao),1095270,Age: 5-19,52.0
Mobility Disability,Region X (Northern Mindanao),1095270,Age: 5-19,55.0
Self-Care Disability,Region X (Northern Mindanao),1095270,Age: 5-19,138.0
Visual Disability,Region X (Northern Mindanao),1095270,Age: 5-19,95.0
Cognitive Disability,Region X (Northern Mindanao),627158,Age: 5-19,98.0
Communication Disability,Region X (Northern Mindanao),627158,Age: 5-19,126.0
Hearing Disability,Region X (Northern Mindanao),627158,Age: 5-19,63.0
Mobility Disability,Region X (Northern Mindanao),627158,Age: 5-19,74.0
Self-Care Disability,Region X (Northern Mindanao),627158,Age: 5-19,97.0
Visual Disability,Region X (Northern Mindanao),627158,Age: 5-19,126.0
Cognitive Disability,Region X (Northern Mindanao),1692002,Age: 5-19,77.0
Communication Disability,Region X (Northern Mindanao),1692002,Age: 5-19,115.0
Hearing Disability,Region X (Northern Mindanao),1692002,Age: 5-19,65.0
Mobility Disability,Region X (Northern Mindanao),1692002,Age: 5-19,61.0
Self-Care Disability,Region X (Northern Mindanao),1692002,Age: 5-19,104.0
Visual Disability,Region X (Northern Mindanao),1692002,Age: 5-19,134.0
Cognitive Disability,Region XIII (Caraga),738775,Age: 5-19,98.0
Communication Disability,Region XIII (Caraga),738775,Age: 5-19,140.0
Hearing Disability,Region XIII (Caraga),738775,Age: 5-19,75.0
Mobility Disability,Region XIII (Caraga),738775,Age: 5-19,78.0
Self-Care Disability,Region XIII (Caraga),738775,Age: 5-19,122.0
Visual Disability,Region XIII (Caraga),738775,Age: 5-19,146.0
Cognitive Disability,Region XIII (Caraga),734982,Age: 5-19,129.0
Communication Disability,Region XIII (Caraga),734982,Age: 5-19,178.0
Hearing Disability,Region XIII (Caraga),734982,Age: 5-19,110.0
Mobility Disability,Region XIII (Caraga),734982,Age: 5-19,96.0
Self-Care Disability,Region XIII (Caraga),734982,Age: 5-19,125.0
Visual Disability,Region XIII (Caraga),734982,Age: 5-19,124.0
Cognitive Disability,Region XIII (Caraga),130671,Age: 5-19,89.0
Communication Disability,Region XIII (Caraga),130671,Age: 5-19,118.0
Hearing Disability,Region XIII (Caraga),130671,Age: 5-19,72.0
Mobility Disability,Region XIII (Caraga),130671,Age: 5-19,91.0
Self-Care Disability,Region XIII (Caraga),130671,Age: 5-19,106.0
Visual Disability,Region XIII (Caraga),130671,Age: 5-19,111.0
Cognitive Disability,Region XIII (Caraga),528148,Age: 5-19,84.0
Communication Disability,Region XIII (Caraga),528148,Age: 5-19,116.0
Hearing Disability,Region XIII (Caraga),528148,Age: 5-19,71.0
Mobility Disability,Region XIII (Caraga),528148,Age: 5-19,68.0
Self-Care Disability,Region XIII (Caraga),528148,Age: 5-19,99.0
Visual Disability,Region XIII (Caraga),528148,Age: 5-19,150.0
Cognitive Disability,Region XIII (Caraga),620531,Age: 5-19,101.0
Communication Disability,Region XIII (Caraga),620531,Age: 5-19,160.0
Hearing Disability,Region XIII (Caraga),620531,Age: 5-19,77.0
Mobility Disability,Region XIII (Caraga),620531,Age: 5-19,86.0
Self-Care Disability,Region XIII (Caraga),620531,Age: 5-19,125.0
Visual Disability,Region XIII (Caraga),620531,Age: 5-19,129.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,38.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,65.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,43.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,43.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,34.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 20-34,99.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,131.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,162.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,122.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,112.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,102.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 20-34,328.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,46.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,77.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,49.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,46.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,47.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 20-34,111.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,6.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,37.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,9.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,9.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,6.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 20-34,53.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,23.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,42.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,21.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,20.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,15.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 20-34,57.0
Cognitive Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,146.0
Communication Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,83.0
Hearing Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,107.0
Mobility Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,90.0
Self-Care Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,50.0
Visual Disability,Cordillera Administrative Region (CAR),247402,Age: 20-34,336.0
Cognitive Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,314.0
Communication Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,136.0
Hearing Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,158.0
Mobility Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,125.0
Self-Care Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,73.0
Visual Disability,Cordillera Administrative Region (CAR),123899,Age: 20-34,324.0
Cognitive Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,113.0
Communication Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,97.0
Hearing Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,110.0
Mobility Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,108.0
Self-Care Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,64.0
Visual Disability,Cordillera Administrative Region (CAR),848552,Age: 20-34,830.0
Cognitive Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,111.0
Communication Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,96.0
Hearing Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,104.0
Mobility Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,86.0
Self-Care Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,57.0
Visual Disability,Cordillera Administrative Region (CAR),210669,Age: 20-34,213.0
Cognitive Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,135.0
Communication Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,125.0
Hearing Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,123.0
Mobility Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,131.0
Self-Care Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,89.0
Visual Disability,Cordillera Administrative Region (CAR),220230,Age: 20-34,216.0
Cognitive Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,111.0
Communication Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,97.0
Hearing Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,72.0
Mobility Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,104.0
Self-Care Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,71.0
Visual Disability,Cordillera Administrative Region (CAR),156987,Age: 20-34,190.0
Cognitive Disability,MIMAROPA Region,241036,Age: 20-34,158.0
Communication Disability,MIMAROPA Region,241036,Age: 20-34,146.0
Hearing Disability,MIMAROPA Region,241036,Age: 20-34,106.0
Mobility Disability,MIMAROPA Region,241036,Age: 20-34,111.0
Self-Care Disability,MIMAROPA Region,241036,Age: 20-34,68.0
Visual Disability,MIMAROPA Region,241036,Age: 20-34,380.0
Cognitive Disability,MIMAROPA Region,515134,Age: 20-34,113.0
Communication Disability,MIMAROPA Region,515134,Age: 20-34,103.0
Hearing Disability,MIMAROPA Region,515134,Age: 20-34,126.0
Mobility Disability,MIMAROPA Region,515134,Age: 20-34,94.0
Self-Care Disability,MIMAROPA Region,515134,Age: 20-34,51.0
Visual Disability,MIMAROPA Region,515134,Age: 20-34,423.0
Cognitive Disability,MIMAROPA Region,901270,Age: 20-34,165.0
Communication Disability,MIMAROPA Region,901270,Age: 20-34,117.0
Hearing Disability,MIMAROPA Region,901270,Age: 20-34,119.0
Mobility Disability,MIMAROPA Region,901270,Age: 20-34,116.0
Self-Care Disability,MIMAROPA Region,901270,Age: 20-34,57.0
Visual Disability,MIMAROPA Region,901270,Age: 20-34,528.0
Cognitive Disability,MIMAROPA Region,1216009,Age: 20-34,215.0
Communication Disability,MIMAROPA Region,1216009,Age: 20-34,118.0
Hearing Disability,MIMAROPA Region,1216009,Age: 20-34,157.0
Mobility Disability,MIMAROPA Region,1216009,Age: 20-34,117.0
Self-Care Disability,MIMAROPA Region,1216009,Age: 20-34,61.0
Visual Disability,MIMAROPA Region,1216009,Age: 20-34,499.0
Cognitive Disability,MIMAROPA Region,301407,Age: 20-34,231.0
Communication Disability,MIMAROPA Region,301407,Age: 20-34,148.0
Hearing Disability,MIMAROPA Region,301407,Age: 20-34,144.0
Mobility Disability,MIMAROPA Region,301407,Age: 20-34,129.0
Self-Care Disability,MIMAROPA Region,301407,Age: 20-34,70.0
Visual Disability,MIMAROPA Region,301407,Age: 20-34,547.0
Cognitive Disability,National Capital Region (NCR),1886920,Age: 20-34,92.0
Communication Disability,National Capital Region (NCR),1886920,Age: 20-34,86.0
Hearing Disability,National Capital Region (NCR),1886920,Age: 20-34,94.0
Mobility Disability,National Capital Region (NCR),1886920,Age: 20-34,72.0
Self-Care Disability,National Capital Region (NCR),1886920,Age: 20-34,47.0
Visual Disability,National Capital Region (NCR),1886920,Age: 20-34,1092.0
Cognitive Disability,National Capital Region (NCR),4015981,Age: 20-34,66.0
Communication Disability,National Capital Region (NCR),4015981,Age: 20-34,81.0
Hearing Disability,National Capital Region (NCR),4015981,Age: 20-34,67.0
Mobility Disability,National Capital Region (NCR),4015981,Age: 20-34,57.0
Self-Care Disability,National Capital Region (NCR),4015981,Age: 20-34,47.0
Visual Disability,National Capital Region (NCR),4015981,Age: 20-34,752.0
Cognitive Disability,National Capital Region (NCR),4960933,Age: 20-34,70.0
Communication Disability,National Capital Region (NCR),4960933,Age: 20-34,78.0
Hearing Disability,National Capital Region (NCR),4960933,Age: 20-34,65.0
Mobility Disability,National Capital Region (NCR),4960933,Age: 20-34,58.0
Self-Care Disability,National Capital Region (NCR),4960933,Age: 20-34,46.0
Visual Disability,National Capital Region (NCR),4960933,Age: 20-34,721.0
Cognitive Disability,National Capital Region (NCR),2940822,Age: 20-34,57.0
Communication Disability,National Capital Region (NCR),2940822,Age: 20-34,69.0
Hearing Disability,National Capital Region (NCR),2940822,Age: 20-34,71.0
Mobility Disability,National Capital Region (NCR),2940822,Age: 20-34,56.0
Self-Care Disability,National Capital Region (NCR),2940822,Age: 20-34,37.0
Visual Disability,National Capital Region (NCR),2940822,Age: 20-34,831.0
Cognitive Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,287.0
Communication Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,116.0
Hearing Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,130.0
Mobility Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,114.0
Self-Care Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,62.0
Visual Disability,REGION XI (DAVAO REGION),774102,Age: 20-34,450.0
Cognitive Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,144.0
Communication Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,90.0
Hearing Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,92.0
Mobility Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,87.0
Self-Care Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,64.0
Visual Disability,REGION XI (DAVAO REGION),1056457,Age: 20-34,422.0
Cognitive Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,101.0
Communication Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,97.0
Hearing Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,69.0
Mobility Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,66.0
Self-Care Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,50.0
Visual Disability,REGION XI (DAVAO REGION),2520852,Age: 20-34,447.0
Cognitive Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,270.0
Communication Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,95.0
Hearing Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,99.0
Mobility Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,92.0
Self-Care Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,57.0
Visual Disability,REGION XI (DAVAO REGION),338925,Age: 20-34,244.0
Cognitive Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,122.0
Communication Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,81.0
Hearing Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,74.0
Mobility Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,79.0
Self-Care Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,46.0
Visual Disability,REGION XI (DAVAO REGION),600531,Age: 20-34,250.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,111.0
Communication Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,87.0
Hearing Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,68.0
Mobility Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,69.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,46.0
Visual Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 20-34,191.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,1065.0
Communication Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,646.0
Hearing Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,644.0
Mobility Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,533.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,350.0
Visual Disability,REGION XII (SOCCSKSARGEN),583791,Age: 20-34,1776.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,133.0
Communication Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,90.0
Hearing Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,84.0
Mobility Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,80.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,53.0
Visual Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 20-34,395.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,197.0
Communication Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,74.0
Hearing Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,71.0
Mobility Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,83.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,46.0
Visual Disability,REGION XII (SOCCSKSARGEN),855241,Age: 20-34,210.0
Cognitive Disability,Region I (Ilocos Region),613421,Age: 20-34,63.0
Communication Disability,Region I (Ilocos Region),613421,Age: 20-34,89.0
Hearing Disability,Region I (Ilocos Region),613421,Age: 20-34,70.0
Mobility Disability,Region I (Ilocos Region),613421,Age: 20-34,70.0
Self-Care Disability,Region I (Ilocos Region),613421,Age: 20-34,44.0
Visual Disability,Region I (Ilocos Region),613421,Age: 20-34,239.0
Cognitive Disability,Region I (Ilocos Region),715810,Age: 20-34,80.0
Communication Disability,Region I (Ilocos Region),715810,Age: 20-34,80.0
Hearing Disability,Region I (Ilocos Region),715810,Age: 20-34,91.0
Mobility Disability,Region I (Ilocos Region),715810,Age: 20-34,84.0
Self-Care Disability,Region I (Ilocos Region),715810,Age: 20-34,46.0
Visual Disability,Region I (Ilocos Region),715810,Age: 20-34,376.0
Cognitive Disability,Region I (Ilocos Region),828194,Age: 20-34,76.0
Communication Disability,Region I (Ilocos Region),828194,Age: 20-34,95.0
Hearing Disability,Region I (Ilocos Region),828194,Age: 20-34,90.0
Mobility Disability,Region I (Ilocos Region),828194,Age: 20-34,87.0
Self-Care Disability,Region I (Ilocos Region),828194,Age: 20-34,55.0
Visual Disability,Region I (Ilocos Region),828194,Age: 20-34,379.0
Cognitive Disability,Region I (Ilocos Region),3113382,Age: 20-34,74.0
Communication Disability,Region I (Ilocos Region),3113382,Age: 20-34,98.0
Hearing Disability,Region I (Ilocos Region),3113382,Age: 20-34,80.0
Mobility Disability,Region I (Ilocos Region),3113382,Age: 20-34,75.0
Self-Care Disability,Region I (Ilocos Region),3113382,Age: 20-34,48.0
Visual Disability,Region I (Ilocos Region),3113382,Age: 20-34,386.0
Cognitive Disability,Region II (Cagayan Valley),17874,Age: 20-34,163.0
