Disability,Region,Population,age/ave_affected,age affection
Hearing Disability,Cordillera Administrative Region (CAR),156987,Age: 5-19,64.0
Mobility Disability,Cordillera Administrative Region (CAR),156987,Age: 5-19,101.0
Self-Care Disability,Cordillera Administrative Region (CAR),156987,Age: 5-19,96.0
Visual Disability,Cordillera Administrative Region (CAR),156987,Age: 5-19,100.0
Cognitive Disability,MIMAROPA Region,241036,Age: 5-19,121.0
Communication Disability,MIMAROPA Region,241036,Age: 5-19,180.0
Hearing Disability,MIMAROPA Region,241036,Age: 5-19,99.0
Mobility Disability,MIMAROPA Region,241036,Age: 5-19,119.0
Self-Care Disability,MIMAROPA Region,241036,Age: 5-19,116.0
Visual Disability,MIMAROPA Region,241036,Age: 5-19,206.0
Cognitive Disability,MIMAROPA Region,515134,Age: 5-19,84.0
Communication Disability,MIMAROPA Region,515134,Age: 5-19,133.0
Hearing Disability,MIMAROPA Region,515134,Age: 5-19,93.0
Mobility Disability,MIMAROPA Region,515134,Age: 5-19,85.0
Self-Care Disability,MIMAROPA Region,515134,Age: 5-19,114.0
Visual Disability,MIMAROPA Region,515134,Age: 5-19,164.0
Cognitive Disability,MIMAROPA Region,901270,Age: 5-19,92.0
Communication Disability,MIMAROPA Region,901270,Age: 5-19,138.0
Hearing Disability,MIMAROPA Region,901270,Age: 5-19,102.0
Mobility Disability,MIMAROPA Region,901270,Age: 5-19,95.0
Self-Care Disability,MIMAROPA Region,901270,Age: 5-19,89.0
Visual Disability,MIMAROPA Region,901270,Age: 5-19,274.0
Cognitive Disability,MIMAROPA Region,1216009,Age: 5-19,87.0
Communication Disability,MIMAROPA Region,1216009,Age: 5-19,132.0
Hearing Disability,MIMAROPA Region,1216009,Age: 5-19,102.0
Mobility Disability,MIMAROPA Region,1216009,Age: 5-19,86.0
Self-Care Disability,MIMAROPA Region,1216009,Age: 5-19,116.0
Visual Disability,MIMAROPA Region,1216009,Age: 5-19,168.0
Cognitive Disability,MIMAROPA Region,301407,Age: 5-19,123.0
Communication Disability,MIMAROPA Region,301407,Age: 5-19,173.0
Hearing Disability,MIMAROPA Region,301407,Age: 5-19,105.0
Mobility Disability,MIMAROPA Region,301407,Age: 5-19,109.0
Self-Care Disability,MIMAROPA Region,301407,Age: 5-19,137.0
Visual Disability,MIMAROPA Region,301407,Age: 5-19,241.0
Cognitive Disability,National Capital Region (NCR),1886920,Age: 5-19,69.0
Communication Disability,National Capital Region (NCR),1886920,Age: 5-19,96.0
Hearing Disability,National Capital Region (NCR),1886920,Age: 5-19,61.0
Mobility Disability,National Capital Region (NCR),1886920,Age: 5-19,55.0
Self-Care Disability,National Capital Region (NCR),1886920,Age: 5-19,93.0
Visual Disability,National Capital Region (NCR),1886920,Age: 5-19,519.0
Cognitive Disability,National Capital Region (NCR),4015981,Age: 5-19,53.0
Communication Disability,National Capital Region (NCR),4015981,Age: 5-19,82.0
Hearing Disability,National Capital Region (NCR),4015981,Age: 5-19,42.0
Mobility Disability,National Capital Region (NCR),4015981,Age: 5-19,42.0
Self-Care Disability,National Capital Region (NCR),4015981,Age: 5-19,69.0
Visual Disability,National Capital Region (NCR),4015981,Age: 5-19,323.0
