Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,MIMAROPA Region,Mild,PH170000000,ORIENTAL MINDORO,PH175200000,15183,901270,1685.0,3.2265999052073573
Cognitive Disability,MIMAROPA Region,Mild,PH170000000,PALAWAN,PH175300000,20994,1216009,1727.0,3.237292337567459
Cognitive Disability,MIMAROPA Region,Mild,PH170000000,ROMBLON,PH175900000,8419,301407,2794.0,3.446226401778163
Cognitive Disability,MIMAROPA Region,Moderate,PH170000000,MARINDUQUE,PH174000000,716,241036,298.0,2.4742162640762553
Cognitive Disability,MIMAROPA Region,Moderate,PH170000000,OCCIDENTAL MINDORO,PH175100000,820,515134,160.0,2.2041199826559246
Cognitive Disability,MIMAROPA Region,Moderate,PH170000000,ORIENTAL MINDORO,PH175200000,1892,901270,210.0,2.322219294733919
Cognitive Disability,MIMAROPA Region,Moderate,PH170000000,PALAWAN,PH175300000,2442,1216009,201.0,2.303196057420489
Cognitive Disability,MIMAROPA Region,Moderate,PH170000000,ROMBLON,PH175900000,1164,301407,387.0,2.5877109650189114
Cognitive Disability,MIMAROPA Region,Severe,PH170000000,MARINDUQUE,PH174000000,269,241036,112.0,2.0492180226701815
Cognitive Disability,MIMAROPA Region,Severe,PH170000000,OCCIDENTAL MINDORO,PH175100000,250,515134,49.0,1.6901960800285136
Cognitive Disability,MIMAROPA Region,Severe,PH170000000,ORIENTAL MINDORO,PH175200000,594,901270,66.0,1.8195439355418688
Cognitive Disability,MIMAROPA Region,Severe,PH170000000,PALAWAN,PH175300000,611,1216009,51.0,1.7075701760979363
Cognitive Disability,MIMAROPA Region,Severe,PH170000000,ROMBLON,PH175900000,278,301407,93.0,1.968482948553935
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH133900000,16374,1886920,868.0,2.938519725176492
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PH137600000,20145,4015981,502.0,2.7007037171450192
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH137400000,24885,4960933,502.0,2.7007037171450192
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",PH137500000,12660,2940822,431.0,2.6344772701607315
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH133900000,2117,1886920,113.0,2.0530784434834195
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PH137600000,3192,4015981,80.0,1.9030899869919435
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH137400000,4347,4960933,88.0,1.9444826721501687
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",PH137500000,2167,2940822,74.0,1.8692317197309762
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH133900000,877,1886920,47.0,1.6720978579357175
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PH137600000,1286,4015981,33.0,1.5185139398778875
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH137400000,1778,4960933,36.0,1.5563025007672873
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",PH137500000,958,2940822,33.0,1.5185139398778875
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,COMPOSTELA VALLEY,PH118200000,18345,774102,2370.0,3.374748346010104
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO DEL NORTE,PH112300000,13697,1056457,1297.0,3.11293997608408
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO DEL SUR,PH112400000,21383,2520852,849.0,2.928907690243953
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO OCCIDENTAL,PH118600000,6553,338925,1934.0,3.286456469746983
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO ORIENTAL,PH112500000,8002,600531,1333.0,3.1248301494138593
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,COMPOSTELA VALLEY,PH118200000,1950,774102,252.0,2.401400540781544
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO DEL NORTE,PH112300000,1710,1056457,162.0,2.2095150145426308
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO DEL SUR,PH112400000,3165,2520852,126.0,2.100370545117563
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO OCCIDENTAL,PH118600000,634,338925,188.0,2.27415784926368
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO ORIENTAL,PH112500000,995,600531,166.0,2.220108088040055
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,COMPOSTELA VALLEY,PH118200000,510,774102,66.0,1.8195439355418688
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO DEL NORTE,PH112300000,570,1056457,54.0,1.7323937598229686
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO DEL SUR,PH112400000,1160,2520852,47.0,1.6720978579357175
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO OCCIDENTAL,PH118600000,138,338925,41.0,1.6127838567197355
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO ORIENTAL,PH112500000,298,600531,50.0,1.6989700043360187
