Disability,Region,Population,age/ave_affected,age affection
Visual Disability,Region V (Bicol Region),6133835,Age: 5-19,12620
Cognitive Disability,Region VI (Western Visayas),7904895,Age: 5-19,6346
Communication Disability,Region VI (Western Visayas),7904895,Age: 5-19,9291
Hearing Disability,Region VI (Western Visayas),7904895,Age: 5-19,4804
Mobility Disability,Region VI (Western Visayas),7904895,Age: 5-19,5334
Self-Care Disability,Region VI (Western Visayas),7904895,Age: 5-19,7751
Visual Disability,Region VI (Western Visayas),7904895,Age: 5-19,10871
Cognitive Disability,Region VII (Central Visayas),7957045,Age: 5-19,7132
Communication Disability,Region VII (Central Visayas),7957045,Age: 5-19,9494
Hearing Disability,Region VII (Central Visayas),7957045,Age: 5-19,5246
Mobility Disability,Region VII (Central Visayas),7957045,Age: 5-19,5518
Self-Care Disability,Region VII (Central Visayas),7957045,Age: 5-19,7287
Visual Disability,Region VII (Central Visayas),7957045,Age: 5-19,13059
Cognitive Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,3962
Communication Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,5653
Hearing Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,3367
Mobility Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,3369
Self-Care Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,5414
Visual Disability,Region VIII (Eastern Visayas),4742342,Age: 5-19,6896
Cognitive Disability,Region X (Northern Mindanao),5017050,Age: 5-19,4431
Communication Disability,Region X (Northern Mindanao),5017050,Age: 5-19,6565
Hearing Disability,Region X (Northern Mindanao),5017050,Age: 5-19,3290
Mobility Disability,Region X (Northern Mindanao),5017050,Age: 5-19,3319
Self-Care Disability,Region X (Northern Mindanao),5017050,Age: 5-19,6493
Visual Disability,Region X (Northern Mindanao),5017050,Age: 5-19,6232
Cognitive Disability,Region XIII (Caraga),2753107,Age: 5-19,2847
Communication Disability,Region XIII (Caraga),2753107,Age: 5-19,4090
Hearing Disability,Region XIII (Caraga),2753107,Age: 5-19,2294
Mobility Disability,Region XIII (Caraga),2753107,Age: 5-19,2277
Self-Care Disability,Region XIII (Caraga),2753107,Age: 5-19,3233
Visual Disability,Region XIII (Caraga),2753107,Age: 5-19,3717
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,2486
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,3795
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,2469
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,2338
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,2126
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 20-34,6546
Cognitive Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,2403
Communication Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,1815
Hearing Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,1989
Mobility Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,1923
Self-Care Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,1182
Visual Disability,Cordillera Administrative Region (CAR),1807739,Age: 20-34,9487
Cognitive Disability,MIMAROPA Region,3174856,Age: 20-34,5745
Communication Disability,MIMAROPA Region,3174856,Age: 20-34,3797
Hearing Disability,MIMAROPA Region,3174856,Age: 20-34,4303
Mobility Disability,MIMAROPA Region,3174856,Age: 20-34,3586
Self-Care Disability,MIMAROPA Region,3174856,Age: 20-34,1877
Visual Disability,MIMAROPA Region,3174856,Age: 20-34,15558
Cognitive Disability,National Capital Region (NCR),13804656,Age: 20-34,9457
Communication Disability,National Capital Region (NCR),13804656,Age: 20-34,10689
Hearing Disability,National Capital Region (NCR),13804656,Age: 20-34,9733
Mobility Disability,National Capital Region (NCR),13804656,Age: 20-34,8094
Self-Care Disability,National Capital Region (NCR),13804656,Age: 20-34,6072
Visual Disability,National Capital Region (NCR),13804656,Age: 20-34,110939
Cognitive Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,7898
Communication Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,5082
Hearing Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,4456
Mobility Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,4224
Self-Care Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,2859
Visual Disability,REGION XI (DAVAO REGION),5290867,Age: 20-34,21513
Cognitive Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,11761
Communication Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,7187
Hearing Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,6767
Mobility Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,6155
Self-Care Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,3982
Visual Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 20-34,21554
Cognitive Disability,Region I (Ilocos Region),5270807,Age: 20-34,3869
Communication Disability,Region I (Ilocos Region),5270807,Age: 20-34,4936
Hearing Disability,Region I (Ilocos Region),5270807,Age: 20-34,4297
Mobility Disability,Region I (Ilocos Region),5270807,Age: 20-34,4045
Self-Care Disability,Region I (Ilocos Region),5270807,Age: 20-34,2525
Visual Disability,Region I (Ilocos Region),5270807,Age: 20-34,19293
Cognitive Disability,Region II (Cagayan Valley),3657746,Age: 20-34,4017
Communication Disability,Region II (Cagayan Valley),3657746,Age: 20-34,3630
Hearing Disability,Region II (Cagayan Valley),3657746,Age: 20-34,3800
Mobility Disability,Region II (Cagayan Valley),3657746,Age: 20-34,3665
Self-Care Disability,Region II (Cagayan Valley),3657746,Age: 20-34,2051
Visual Disability,Region II (Cagayan Valley),3657746,Age: 20-34,16371
Cognitive Disability,Region III (Central Luzon),12313714,Age: 20-34,8573
Communication Disability,Region III (Central Luzon),12313714,Age: 20-34,10347
Hearing Disability,Region III (Central Luzon),12313714,Age: 20-34,9922
Mobility Disability,Region III (Central Luzon),12313714,Age: 20-34,8372
Self-Care Disability,Region III (Central Luzon),12313714,Age: 20-34,5550
Visual Disability,Region III (Central Luzon),12313714,Age: 20-34,77051
Cognitive Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,12136
Communication Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,13109
Hearing Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,12041
Mobility Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,10632
Self-Care Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,7005
Visual Disability,Region IV-A (CALABARZON),16057291,Age: 20-34,95978
Cognitive Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,4762
Communication Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,3820
Hearing Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,3013
Mobility Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,2844
Self-Care Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,2266
Visual Disability,Region IX (Zamboanga Peninsula),3782761,Age: 20-34,10368
Cognitive Disability,Region V (Bicol Region),6133835,Age: 20-34,8455
Communication Disability,Region V (Bicol Region),6133835,Age: 20-34,7545
Hearing Disability,Region V (Bicol Region),6133835,Age: 20-34,8098
Mobility Disability,Region V (Bicol Region),6133835,Age: 20-34,6257
Self-Care Disability,Region V (Bicol Region),6133835,Age: 20-34,3628
Visual Disability,Region V (Bicol Region),6133835,Age: 20-34,25687
Cognitive Disability,Region VI (Western Visayas),7904895,Age: 20-34,10033
Communication Disability,Region VI (Western Visayas),7904895,Age: 20-34,8568
Hearing Disability,Region VI (Western Visayas),7904895,Age: 20-34,6567
Mobility Disability,Region VI (Western Visayas),7904895,Age: 20-34,6648
Self-Care Disability,Region VI (Western Visayas),7904895,Age: 20-34,4709
Visual Disability,Region VI (Western Visayas),7904895,Age: 20-34,24737
Cognitive Disability,Region VII (Central Visayas),7957045,Age: 20-34,11172
Communication Disability,Region VII (Central Visayas),7957045,Age: 20-34,8548
Hearing Disability,Region VII (Central Visayas),7957045,Age: 20-34,7187
Mobility Disability,Region VII (Central Visayas),7957045,Age: 20-34,6329
Self-Care Disability,Region VII (Central Visayas),7957045,Age: 20-34,4517
Visual Disability,Region VII (Central Visayas),7957045,Age: 20-34,30498
Cognitive Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,6560
Communication Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,4945
Hearing Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,5166
Mobility Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,4073
Self-Care Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,2467
Visual Disability,Region VIII (Eastern Visayas),4742342,Age: 20-34,16322
Cognitive Disability,Region X (Northern Mindanao),5017050,Age: 20-34,7114
Communication Disability,Region X (Northern Mindanao),5017050,Age: 20-34,5682
Hearing Disability,Region X (Northern Mindanao),5017050,Age: 20-34,4659
Mobility Disability,Region X (Northern Mindanao),5017050,Age: 20-34,4042
Self-Care Disability,Region X (Northern Mindanao),5017050,Age: 20-34,3136
Visual Disability,Region X (Northern Mindanao),5017050,Age: 20-34,14495
Cognitive Disability,Region XIII (Caraga),2753107,Age: 20-34,5178
Communication Disability,Region XIII (Caraga),2753107,Age: 20-34,3222
Hearing Disability,Region XIII (Caraga),2753107,Age: 20-34,3138
Mobility Disability,Region XIII (Caraga),2753107,Age: 20-34,2569
Self-Care Disability,Region XIII (Caraga),2753107,Age: 20-34,1670
Visual Disability,Region XIII (Caraga),2753107,Age: 20-34,8780
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,11586
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,5951
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,13279
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,13612
