Disability,Region,Population,age/ave_affected,age affection
Mobility Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,170578
Self-Care Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,45075
Visual Disability,Region IV-A (CALABARZON),16057291,Age: 55-80+,483403
Cognitive Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,40437
Communication Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,11726
Hearing Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,51634
Mobility Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,51522
Self-Care Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,16122
Visual Disability,Region IX (Zamboanga Peninsula),3782761,Age: 55-80+,135412
Cognitive Disability,Region V (Bicol Region),6133835,Age: 55-80+,66448
Communication Disability,Region V (Bicol Region),6133835,Age: 55-80+,20272
Hearing Disability,Region V (Bicol Region),6133835,Age: 55-80+,97899
Mobility Disability,Region V (Bicol Region),6133835,Age: 55-80+,111786
Self-Care Disability,Region V (Bicol Region),6133835,Age: 55-80+,26792
Visual Disability,Region V (Bicol Region),6133835,Age: 55-80+,255221
Cognitive Disability,Region VI (Western Visayas),7904895,Age: 55-80+,108222
Communication Disability,Region VI (Western Visayas),7904895,Age: 55-80+,29892
Hearing Disability,Region VI (Western Visayas),7904895,Age: 55-80+,132502
Mobility Disability,Region VI (Western Visayas),7904895,Age: 55-80+,136365
Self-Care Disability,Region VI (Western Visayas),7904895,Age: 55-80+,42145
Visual Disability,Region VI (Western Visayas),7904895,Age: 55-80+,343517
Cognitive Disability,Region VII (Central Visayas),7957045,Age: 55-80+,82167
Communication Disability,Region VII (Central Visayas),7957045,Age: 55-80+,24775
Hearing Disability,Region VII (Central Visayas),7957045,Age: 55-80+,108377
Mobility Disability,Region VII (Central Visayas),7957045,Age: 55-80+,121403
Self-Care Disability,Region VII (Central Visayas),7957045,Age: 55-80+,34061
Visual Disability,Region VII (Central Visayas),7957045,Age: 55-80+,246124
Cognitive Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,56810
Communication Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,15247
Hearing Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,83319
Mobility Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,87529
Self-Care Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,21084
Visual Disability,Region VIII (Eastern Visayas),4742342,Age: 55-80+,207915
Cognitive Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,43521
Communication Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,13390
Hearing Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,59775
Mobility Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,55168
Self-Care Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,18641
Visual Disability,Region X (Northern Mindanao),5017050,Age: 55-80+,145318
Cognitive Disability,Region XIII (Caraga),2753107,Age: 55-80+,31596
Communication Disability,Region XIII (Caraga),2753107,Age: 55-80+,7837
Hearing Disability,Region XIII (Caraga),2753107,Age: 55-80+,38422
Mobility Disability,Region XIII (Caraga),2753107,Age: 55-80+,35632
Self-Care Disability,Region XIII (Caraga),2753107,Age: 55-80+,10887
Visual Disability,Region XIII (Caraga),2753107,Age: 55-80+,94941
