Region,Province,Disability,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+,Household Population 5 Years Old and Over with Functional Difficulty,Population
Region II (Cagayan Valley),QUIRINO,Mobility Disability,85.0,102.0,346.0,1648.0,4313,197917
Region II (Cagayan Valley),QUIRINO,Self-Care Disability,69.0,55.0,62.0,357.0,1069,197917
Region II (Cagayan Valley),QUIRINO,Visual Disability,127.0,291.0,1662.0,3274.0,10592,197917
Region III (Central Luzon),AURORA,Cognitive Disability,81.0,109.0,254.0,745.0,2700,227530
Region III (Central Luzon),AURORA,Communication Disability,117.0,96.0,100.0,254.0,1286,227530
Region III (Central Luzon),AURORA,Hearing Disability,69.0,88.0,258.0,1210.0,3694,227530
Region III (Central Luzon),AURORA,Mobility Disability,86.0,100.0,291.0,1246.0,3917,227530
Region III (Central Luzon),AURORA,Self-Care Disability,78.0,51.0,61.0,358.0,1241,227530
Region III (Central Luzon),AURORA,Visual Disability,115.0,232.0,1347.0,2758.0,10125,227530
Region III (Central Luzon),BATAAN,Cognitive Disability,57.0,88.0,220.0,605.0,8093,836076
Region III (Central Luzon),BATAAN,Communication Disability,90.0,80.0,88.0,202.0,3832,836076
Region III (Central Luzon),BATAAN,Hearing Disability,71.0,93.0,273.0,1090.0,12754,836076
Region III (Central Luzon),BATAAN,Mobility Disability,60.0,80.0,309.0,1340.0,14946,836076
Region III (Central Luzon),BATAAN,Self-Care Disability,76.0,49.0,71.0,309.0,4212,836076
Region III (Central Luzon),BATAAN,Visual Disability,380.0,784.0,2709.0,4087.0,66535,836076
Region III (Central Luzon),BULACAN,Cognitive Disability,61.0,82.0,184.0,556.0,32148,3646679
Region III (Central Luzon),BULACAN,Communication Disability,105.0,94.0,103.0,225.0,19115,3646679
Region III (Central Luzon),BULACAN,Hearing Disability,63.0,95.0,256.0,1063.0,53788,3646679
Region III (Central Luzon),BULACAN,Mobility Disability,56.0,75.0,277.0,1257.0,60681,3646679
Region III (Central Luzon),BULACAN,Self-Care Disability,80.0,52.0,75.0,316.0,18989,3646679
Region III (Central Luzon),BULACAN,Visual Disability,427.0,879.0,2875.0,4055.0,300259,3646679
Region III (Central Luzon),NUEVA ECIJA,Cognitive Disability,49.0,71.0,181.0,694.0,23399,2355414
Region III (Central Luzon),NUEVA ECIJA,Communication Disability,91.0,87.0,106.0,288.0,13429,2355414
Region III (Central Luzon),NUEVA ECIJA,Hearing Disability,58.0,86.0,297.0,1485.0,45316,2355414
Region III (Central Luzon),NUEVA ECIJA,Mobility Disability,52.0,75.0,300.0,1546.0,46433,2355414
Region III (Central Luzon),NUEVA ECIJA,Self-Care Disability,83.0,53.0,81.0,400.0,14477,2355414
Region III (Central Luzon),NUEVA ECIJA,Visual Disability,233.0,562.0,3048.0,5076.0,210017,2355414
Region III (Central Luzon),PAMPANGA,Cognitive Disability,36.0,44.0,94.0,381.0,16006,2893624
Region III (Central Luzon),PAMPANGA,Communication Disability,76.0,74.0,84.0,178.0,11842,2893624
Region III (Central Luzon),PAMPANGA,Hearing Disability,40.0,52.0,135.0,685.0,26330,2893624
Region III (Central Luzon),PAMPANGA,Mobility Disability,35.0,47.0,171.0,861.0,32149,2893624
Region III (Central Luzon),PAMPANGA,Self-Care Disability,47.0,31.0,47.0,250.0,10790,2893624
Region III (Central Luzon),PAMPANGA,Visual Disability,218.0,459.0,1402.0,2403.0,129675,2893624
Region III (Central Luzon),TARLAC,Cognitive Disability,40.0,58.0,137.0,603.0,12217,1460137
Region III (Central Luzon),TARLAC,Communication Disability,85.0,83.0,96.0,221.0,7050,1460137
Region III (Central Luzon),TARLAC,Hearing Disability,52.0,70.0,209.0,1169.0,21850,1460137
Region III (Central Luzon),TARLAC,Mobility Disability,51.0,64.0,233.0,1233.0,23051,1460137
Region III (Central Luzon),TARLAC,Self-Care Disability,58.0,45.0,63.0,351.0,7529,1460137
Region III (Central Luzon),TARLAC,Visual Disability,169.0,355.0,1679.0,3182.0,78602,1460137
Region III (Central Luzon),ZAMBALES,Cognitive Disability,67.0,98.0,246.0,817.0,10959,894254
Region III (Central Luzon),ZAMBALES,Communication Disability,94.0,80.0,92.0,279.0,4851,894254
Region III (Central Luzon),ZAMBALES,Hearing Disability,80.0,112.0,302.0,1526.0,18047,894254
Region III (Central Luzon),ZAMBALES,Mobility Disability,67.0,83.0,321.0,1624.0,18721,894254
Region III (Central Luzon),ZAMBALES,Self-Care Disability,73.0,45.0,70.0,416.0,5387,894254
Region III (Central Luzon),ZAMBALES,Visual Disability,268.0,701.0,2859.0,4711.0,76348,894254
Region IV-A (CALABARZON),BATANGAS,Cognitive Disability,49.0,54.0,108.0,455.0,20136,3033730
Region IV-A (CALABARZON),BATANGAS,Communication Disability,79.0,74.0,84.0,221.0,13844,3033730
Region IV-A (CALABARZON),BATANGAS,Hearing Disability,47.0,60.0,165.0,924.0,36229,3033730
Region IV-A (CALABARZON),BATANGAS,Mobility Disability,50.0,63.0,222.0,1176.0,45785,3033730
Region IV-A (CALABARZON),BATANGAS,Self-Care Disability,81.0,41.0,59.0,314.0,14938,3033730
Region IV-A (CALABARZON),BATANGAS,Visual Disability,219.0,465.0,1614.0,2941.0,158855,3033730
Region IV-A (CALABARZON),CAVITE,Cognitive Disability,55.0,59.0,119.0,387.0,26012,4210866
Region IV-A (CALABARZON),CAVITE,Communication Disability,92.0,80.0,94.0,182.0,18778,4210866
Region IV-A (CALABARZON),CAVITE,Hearing Disability,53.0,70.0,176.0,817.0,46899,4210866
Region IV-A (CALABARZON),CAVITE,Mobility Disability,51.0,61.0,212.0,934.0,52845,4210866
Region IV-A (CALABARZON),CAVITE,Self-Care Disability,68.0,40.0,62.0,251.0,17645,4210866
Region IV-A (CALABARZON),CAVITE,Visual Disability,329.0,666.0,1810.0,2692.0,231358,4210866
Region IV-A (CALABARZON),LAGUNA,Cognitive Disability,61.0,72.0,150.0,449.0,24421,3343703
Region IV-A (CALABARZON),LAGUNA,Communication Disability,91.0,83.0,103.0,184.0,15373,3343703
Region IV-A (CALABARZON),LAGUNA,Hearing Disability,48.0,69.0,198.0,857.0,39119,3343703
Region IV-A (CALABARZON),LAGUNA,Mobility Disability,58.0,66.0,219.0,949.0,43165,3343703
Region IV-A (CALABARZON),LAGUNA,Self-Care Disability,84.0,50.0,73.0,258.0,15484,3343703
Region IV-A (CALABARZON),LAGUNA,Visual Disability,277.0,627.0,1830.0,2817.0,185517,3343703
Region IV-A (CALABARZON),QUEZON,Cognitive Disability,84.0,150.0,420.0,1039.0,38206,2260033
Region IV-A (CALABARZON),QUEZON,Communication Disability,127.0,105.0,118.0,291.0,14461,2260033
Region IV-A (CALABARZON),QUEZON,Hearing Disability,88.0,113.0,346.0,1466.0,45468,2260033
Region IV-A (CALABARZON),QUEZON,Mobility Disability,80.0,93.0,373.0,1628.0,49097,2260033
Region IV-A (CALABARZON),QUEZON,Self-Care Disability,96.0,54.0,81.0,368.0,13488,2260033
Region IV-A (CALABARZON),QUEZON,Visual Disability,238.0,504.0,2583.0,4299.0,172265,2260033
Region IV-A (CALABARZON),RIZAL,Cognitive Disability,53.0,71.0,163.0,443.0,23363,3208959
Region IV-A (CALABARZON),RIZAL,Communication Disability,82.0,75.0,90.0,189.0,13971,3208959
Region IV-A (CALABARZON),RIZAL,Hearing Disability,57.0,78.0,205.0,771.0,35568,3208959
Region IV-A (CALABARZON),RIZAL,Mobility Disability,50.0,61.0,219.0,846.0,37665,3208959
Region IV-A (CALABARZON),RIZAL,Self-Care Disability,65.0,40.0,66.0,253.0,13528,3208959
Region IV-A (CALABARZON),RIZAL,Visual Disability,311.0,672.0,2034.0,2791.0,186306,3208959
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Cognitive Disability,49.0,65.0,136.0,527.0,991,127728
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Communication Disability,116.0,90.0,85.0,208.0,635,127728
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Hearing Disability,29.0,44.0,114.0,737.0,1178,127728
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Mobility Disability,40.0,41.0,154.0,961.0,1525,127728
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Self-Care Disability,231.0,69.0,113.0,349.0,970,127728
Region IX (Zamboanga Peninsula),CITY OF ISABELA (NOT A PROVINCE),Visual Disability,98.0,168.0,798.0,1851.0,3721,127728
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Cognitive Disability,97.0,137.0,385.0,1211.0,19137,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Communication Disability,127.0,101.0,119.0,358.0,7362,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Hearing Disability,81.0,92.0,283.0,1638.0,21898,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Mobility Disability,81.0,80.0,328.0,1614.0,22000,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Self-Care Disability,108.0,55.0,91.0,462.0,7487,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL NORTE,Visual Disability,120.0,266.0,1901.0,4034.0,66179,1047292
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Cognitive Disability,91.0,108.0,287.0,916.0,27008,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Communication Disability,129.0,99.0,110.0,298.0,12241,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Hearing Disability,51.0,71.0,208.0,1185.0,29164,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Mobility Disability,62.0,71.0,260.0,1242.0,31472,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Self-Care Disability,135.0,64.0,98.0,433.0,14026,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA DEL SUR,Visual Disability,111.0,271.0,1601.0,3195.0,99819,1928337
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Cognitive Disability,104.0,173.0,581.0,1388.0,15255,679404
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Communication Disability,134.0,110.0,110.0,291.0,4374,679404
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Hearing Disability,77.0,96.0,316.0,1577.0,14015,679404
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Mobility Disability,81.0,90.0,357.0,1393.0,13037,679404
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Self-Care Disability,106.0,57.0,83.0,370.0,4170,679404
Region IX (Zamboanga Peninsula),ZAMBOANGA SIBUGAY,Visual Disability,123.0,318.0,2570.0,4298.0,49646,679404
Region V (Bicol Region),ALBAY,Cognitive Disability,74.0,103.0,250.0,862.0,17965,1396088
Region V (Bicol Region),ALBAY,Communication Disability,123.0,109.0,130.0,316.0,9431,1396088
Region V (Bicol Region),ALBAY,Hearing Disability,94.0,113.0,297.0,1456.0,27346,1396088
Region V (Bicol Region),ALBAY,Mobility Disability,83.0,95.0,361.0,1749.0,31907,1396088
Region V (Bicol Region),ALBAY,Self-Care Disability,92.0,56.0,79.0,421.0,9013,1396088
Region V (Bicol Region),ALBAY,Visual Disability,221.0,408.0,2045.0,3869.0,91312,1396088
Region V (Bicol Region),CAMARINES NORTE,Cognitive Disability,114.0,162.0,433.0,1189.0,11796,622514
Region V (Bicol Region),CAMARINES NORTE,Communication Disability,176.0,142.0,137.0,330.0,4876,622514
Region V (Bicol Region),CAMARINES NORTE,Hearing Disability,138.0,157.0,416.0,1564.0,14144,622514
Region V (Bicol Region),CAMARINES NORTE,Mobility Disability,106.0,120.0,446.0,1876.0,15852,622514
Region V (Bicol Region),CAMARINES NORTE,Self-Care Disability,128.0,67.0,89.0,415.0,4332,622514
Region V (Bicol Region),CAMARINES NORTE,Visual Disability,201.0,428.0,2448.0,4162.0,45048,622514
Region V (Bicol Region),CAMARINES SUR,Cognitive Disability,89.0,169.0,438.0,1314.0,41336,2059495
Region V (Bicol Region),CAMARINES SUR,Communication Disability,156.0,130.0,130.0,342.0,15568,2059495
Region V (Bicol Region),CAMARINES SUR,Hearing Disability,130.0,154.0,412.0,1802.0,51404,2059495
Region V (Bicol Region),CAMARINES SUR,Mobility Disability,97.0,112.0,430.0,1935.0,52968,2059495
Region V (Bicol Region),CAMARINES SUR,Self-Care Disability,112.0,66.0,91.0,462.0,15006,2059495
Region V (Bicol Region),CAMARINES SUR,Visual Disability,232.0,489.0,2676.0,4596.0,164575,2059495
Region V (Bicol Region),CATANDUANES,Cognitive Disability,115.0,215.0,503.0,1442.0,6204,272941
Region V (Bicol Region),CATANDUANES,Communication Disability,188.0,154.0,148.0,406.0,2442,272941
Region V (Bicol Region),CATANDUANES,Hearing Disability,152.0,179.0,417.0,1696.0,6665,272941
Region V (Bicol Region),CATANDUANES,Mobility Disability,117.0,124.0,506.0,2235.0,8136,272941
Region V (Bicol Region),CATANDUANES,Self-Care Disability,122.0,64.0,87.0,526.0,2174,272941
Region V (Bicol Region),CATANDUANES,Visual Disability,192.0,303.0,1960.0,3767.0,16978,272941
Region V (Bicol Region),MASBATE,Cognitive Disability,66.0,92.0,221.0,730.0,10367,937079
Region V (Bicol Region),MASBATE,Communication Disability,121.0,100.0,101.0,253.0,5361,937079
Region V (Bicol Region),MASBATE,Hearing Disability,62.0,80.0,210.0,1182.0,14347,937079
Region V (Bicol Region),MASBATE,Mobility Disability,70.0,73.0,278.0,1371.0,16777,937079
Region V (Bicol Region),MASBATE,Self-Care Disability,72.0,46.0,58.0,331.0,4732,937079
Region V (Bicol Region),MASBATE,Visual Disability,122.0,256.0,1775.0,3342.0,51475,937079
Region V (Bicol Region),SORSOGON,Cognitive Disability,85.0,131.0,318.0,1089.0,13708,845718
Region V (Bicol Region),SORSOGON,Communication Disability,161.0,135.0,134.0,393.0,6938,845718
Region V (Bicol Region),SORSOGON,Hearing Disability,99.0,137.0,405.0,1781.0,20468,845718
Region V (Bicol Region),SORSOGON,Mobility Disability,92.0,105.0,411.0,2000.0,22042,845718
Region V (Bicol Region),SORSOGON,Self-Care Disability,101.0,61.0,79.0,511.0,6338,845718
Region V (Bicol Region),SORSOGON,Visual Disability,222.0,479.0,2711.0,4621.0,67911,845718
Region VI (Western Visayas),AKLAN,Cognitive Disability,111.0,175.0,511.0,1753.0,15429,605584
Region VI (Western Visayas),AKLAN,Communication Disability,139.0,121.0,132.0,440.0,5027,605584
Region VI (Western Visayas),AKLAN,Hearing Disability,68.0,103.0,314.0,2038.0,15267,605584
Region VI (Western Visayas),AKLAN,Mobility Disability,88.0,108.0,398.0,2153.0,16617,605584
Region VI (Western Visayas),AKLAN,Self-Care Disability,135.0,69.0,104.0,670.0,5913,605584
Region VI (Western Visayas),AKLAN,Visual Disability,163.0,394.0,2519.0,5806.0,53778,605584
Region VI (Western Visayas),ANTIQUE,Cognitive Disability,107.0,226.0,696.0,2202.0,19774,612454
Region VI (Western Visayas),ANTIQUE,Communication Disability,144.0,129.0,153.0,504.0,5687,612454
Region VI (Western Visayas),ANTIQUE,Hearing Disability,96.0,137.0,447.0,2256.0,17974,612454
Region VI (Western Visayas),ANTIQUE,Mobility Disability,96.0,125.0,502.0,2638.0,20574,612454
Region VI (Western Visayas),ANTIQUE,Self-Care Disability,166.0,78.0,116.0,742.0,6736,612454
Region VI (Western Visayas),ANTIQUE,Visual Disability,191.0,409.0,2495.0,5365.0,51800,612454
Region VI (Western Visayas),CAPIZ,Cognitive Disability,88.0,150.0,454.0,1648.0,18770,803083
Region VI (Western Visayas),CAPIZ,Communication Disability,114.0,115.0,127.0,425.0,6255,803083
Region VI (Western Visayas),CAPIZ,Hearing Disability,63.0,85.0,254.0,1792.0,17593,803083
Region VI (Western Visayas),CAPIZ,Mobility Disability,70.0,90.0,329.0,1767.0,18105,803083
Region VI (Western Visayas),CAPIZ,Self-Care Disability,95.0,65.0,92.0,554.0,6455,803083
Region VI (Western Visayas),CAPIZ,Visual Disability,119.0,272.0,1902.0,4913.0,57861,803083
Region VI (Western Visayas),GUIMARAS,Cognitive Disability,74.0,124.0,349.0,1179.0,3192,185174
Region VI (Western Visayas),GUIMARAS,Communication Disability,119.0,123.0,140.0,316.0,1289,185174
Region VI (Western Visayas),GUIMARAS,Hearing Disability,62.0,77.0,198.0,1366.0,3150,185174
Region VI (Western Visayas),GUIMARAS,Mobility Disability,65.0,90.0,253.0,1515.0,3557,185174
Region VI (Western Visayas),GUIMARAS,Self-Care Disability,91.0,64.0,90.0,476.0,1332,185174
Region VI (Western Visayas),GUIMARAS,Visual Disability,112.0,244.0,1257.0,3579.0,9610,185174
Region VI (Western Visayas),ILOILO,Cognitive Disability,82.0,130.0,413.0,1634.0,56961,2524211
Region VI (Western Visayas),ILOILO,Communication Disability,115.0,105.0,131.0,449.0,20149,2524211
Region VI (Western Visayas),ILOILO,Hearing Disability,66.0,87.0,285.0,1899.0,58957,2524211
Region VI (Western Visayas),ILOILO,Mobility Disability,72.0,89.0,349.0,2033.0,64160,2524211
Region VI (Western Visayas),ILOILO,Self-Care Disability,91.0,61.0,98.0,633.0,22245,2524211
Region VI (Western Visayas),ILOILO,Visual Disability,168.0,406.0,2029.0,4719.0,184750,2524211
Region VI (Western Visayas),NEGROS OCCIDENTAL,Cognitive Disability,68.0,92.0,236.0,866.0,39980,3174389
Region VI (Western Visayas),NEGROS OCCIDENTAL,Communication Disability,112.0,103.0,115.0,279.0,19278,3174389
Region VI (Western Visayas),NEGROS OCCIDENTAL,Hearing Disability,49.0,67.0,203.0,1308.0,51579,3174389
Region VI (Western Visayas),NEGROS OCCIDENTAL,Mobility Disability,55.0,67.0,237.0,1225.0,50234,3174389
Region VI (Western Visayas),NEGROS OCCIDENTAL,Self-Care Disability,86.0,53.0,78.0,387.0,19087,3174389
Region VI (Western Visayas),NEGROS OCCIDENTAL,Visual Disability,106.0,221.0,1517.0,3476.0,168792,3174389
Region VII (Central Visayas),BOHOL,Cognitive Disability,106.0,169.0,499.0,1691.0,33621,1365107
Region VII (Central Visayas),BOHOL,Communication Disability,141.0,122.0,135.0,425.0,11201,1365107
Region VII (Central Visayas),BOHOL,Hearing Disability,86.0,114.0,320.0,2083.0,35514,1365107
Region VII (Central Visayas),BOHOL,Mobility Disability,80.0,92.0,343.0,2158.0,36451,1365107
Region VII (Central Visayas),BOHOL,Self-Care Disability,103.0,63.0,89.0,596.0,11595,1365107
Region VII (Central Visayas),BOHOL,Visual Disability,149.0,329.0,1751.0,4126.0,86722,1365107
Region VII (Central Visayas),CEBU,Cognitive Disability,81.0,123.0,261.0,785.0,63433,5085207
Region VII (Central Visayas),CEBU,Communication Disability,111.0,100.0,104.0,261.0,29181,5085207
Region VII (Central Visayas),CEBU,Hearing Disability,60.0,83.0,206.0,1090.0,73065,5085207
Region VII (Central Visayas),CEBU,Mobility Disability,62.0,73.0,236.0,1257.0,82699,5085207
Region VII (Central Visayas),CEBU,Self-Care Disability,81.0,50.0,70.0,355.0,28180,5085207
Region VII (Central Visayas),CEBU,Visual Disability,177.0,422.0,1426.0,2612.0,235718,5085207
Region VII (Central Visayas),NEGROS ORIENTAL,Cognitive Disability,105.0,179.0,411.0,1261.0,27486,1406274
Region VII (Central Visayas),NEGROS ORIENTAL,Communication Disability,130.0,121.0,128.0,375.0,10561,1406274
Region VII (Central Visayas),NEGROS ORIENTAL,Hearing Disability,70.0,96.0,240.0,1577.0,27871,1406274
Region VII (Central Visayas),NEGROS ORIENTAL,Mobility Disability,87.0,94.0,319.0,1803.0,32361,1406274
Region VII (Central Visayas),NEGROS ORIENTAL,Self-Care Disability,119.0,78.0,97.0,513.0,11321,1406274
Region VII (Central Visayas),NEGROS ORIENTAL,Visual Disability,137.0,307.0,1566.0,3746.0,80926,1406274
Region VII (Central Visayas),SIQUIJOR,Cognitive Disability,116.0,153.0,391.0,1476.0,2143,100457
Region VII (Central Visayas),SIQUIJOR,Communication Disability,150.0,140.0,152.0,459.0,903,100457
Region VII (Central Visayas),SIQUIJOR,Hearing Disability,67.0,90.0,313.0,2359.0,2840,100457
Region VII (Central Visayas),SIQUIJOR,Mobility Disability,82.0,102.0,379.0,2704.0,3280,100457
Region VII (Central Visayas),SIQUIJOR,Self-Care Disability,105.0,78.0,89.0,699.0,974,100457
Region VII (Central Visayas),SIQUIJOR,Visual Disability,127.0,263.0,1639.0,4327.0,6383,100457
Region VIII (Eastern Visayas),BILIRAN,Cognitive Disability,87.0,137.0,392.0,1228.0,3306,179362
Region VIII (Eastern Visayas),BILIRAN,Communication Disability,138.0,123.0,133.0,333.0,1299,179362
Region VIII (Eastern Visayas),BILIRAN,Hearing Disability,71.0,98.0,326.0,1551.0,3666,179362
Region VIII (Eastern Visayas),BILIRAN,Mobility Disability,79.0,80.0,366.0,1976.0,4483,179362
Region VIII (Eastern Visayas),BILIRAN,Self-Care Disability,92.0,47.0,78.0,494.0,1273,179362
Region VIII (Eastern Visayas),BILIRAN,Visual Disability,103.0,205.0,1398.0,3191.0,8778,179362
Region VIII (Eastern Visayas),EASTERN SAMAR,Cognitive Disability,75.0,152.0,403.0,1367.0,10046,503495
Region VIII (Eastern Visayas),EASTERN SAMAR,Communication Disability,128.0,118.0,116.0,390.0,3777,503495
Region VIII (Eastern Visayas),EASTERN SAMAR,Hearing Disability,93.0,164.0,488.0,2294.0,15292,503495
Region VIII (Eastern Visayas),EASTERN SAMAR,Mobility Disability,89.0,117.0,560.0,2648.0,17178,503495
Region VIII (Eastern Visayas),EASTERN SAMAR,Self-Care Disability,74.0,45.0,61.0,506.0,3443,503495
Region VIII (Eastern Visayas),EASTERN SAMAR,Visual Disability,168.0,399.0,2661.0,5372.0,43291,503495
Region VIII (Eastern Visayas),LEYTE,Cognitive Disability,81.0,139.0,364.0,1170.0,37236,2124269
Region VIII (Eastern Visayas),LEYTE,Communication Disability,124.0,106.0,108.0,306.0,13666,2124269
Region VIII (Eastern Visayas),LEYTE,Hearing Disability,68.0,99.0,296.0,1611.0,44011,2124269
Region VIII (Eastern Visayas),LEYTE,Mobility Disability,70.0,83.0,323.0,1707.0,46328,2124269
Region VIII (Eastern Visayas),LEYTE,Self-Care Disability,112.0,53.0,70.0,427.0,14023,2124269
Region VIII (Eastern Visayas),LEYTE,Visual Disability,146.0,355.0,2074.0,4163.0,143083,2124269
Region VIII (Eastern Visayas),NORTHERN SAMAR,Cognitive Disability,75.0,168.0,520.0,1349.0,14110,668766
Region VIII (Eastern Visayas),NORTHERN SAMAR,Communication Disability,121.0,102.0,112.0,341.0,4506,668766
Region VIII (Eastern Visayas),NORTHERN SAMAR,Hearing Disability,88.0,136.0,530.0,2138.0,19327,668766
Region VIII (Eastern Visayas),NORTHERN SAMAR,Mobility Disability,82.0,103.0,505.0,2074.0,18467,668766
Region VIII (Eastern Visayas),NORTHERN SAMAR,Self-Care Disability,145.0,70.0,89.0,459.0,5093,668766
Region VIII (Eastern Visayas),NORTHERN SAMAR,Visual Disability,184.0,442.0,3216.0,5292.0,61073,668766
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Cognitive Disability,56.0,78.0,189.0,729.0,8632,822095
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Communication Disability,95.0,80.0,87.0,229.0,4028,822095
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Hearing Disability,58.0,89.0,235.0,1345.0,14177,822095
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Mobility Disability,57.0,65.0,280.0,1425.0,14993,822095
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Self-Care Disability,63.0,36.0,52.0,318.0,3844,822095
Region VIII (Eastern Visayas),SAMAR (WESTERN SAMAR),Visual Disability,111.0,257.0,1736.0,3512.0,46149,822095
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Cognitive Disability,174.0,189.0,570.0,1772.0,12014,444355
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Communication Disability,125.0,125.0,145.0,458.0,3780,444355
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Hearing Disability,67.0,99.0,330.0,2124.0,11630,444355
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Mobility Disability,70.0,84.0,312.0,1989.0,10899,444355
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Self-Care Disability,231.0,66.0,103.0,657.0,4684,444355
Region VIII (Eastern Visayas),SOUTHERN LEYTE,Visual Disability,143.0,307.0,2121.0,5057.0,33889,444355
Region X (Northern Mindanao),BUKIDNON,Cognitive Disability,106.0,188.0,441.0,960.0,25578,1510189
Region X (Northern Mindanao),BUKIDNON,Communication Disability,162.0,135.0,142.0,287.0,10940,1510189
Region X (Northern Mindanao),BUKIDNON,Hearing Disability,75.0,107.0,273.0,1208.0,25084,1510189
Region X (Northern Mindanao),BUKIDNON,Mobility Disability,78.0,99.0,288.0,1092.0,23483,1510189
Region X (Northern Mindanao),BUKIDNON,Self-Care Disability,170.0,78.0,116.0,368.0,11031,1510189
Region X (Northern Mindanao),BUKIDNON,Visual Disability,134.0,318.0,1610.0,2931.0,75364,1510189
Region X (Northern Mindanao),CAMIGUIN,Cognitive Disability,105.0,253.0,596.0,1526.0,2290,92431
Region X (Northern Mindanao),CAMIGUIN,Communication Disability,158.0,131.0,161.0,321.0,711,92431
Region X (Northern Mindanao),CAMIGUIN,Hearing Disability,111.0,118.0,333.0,1844.0,2222,92431
Region X (Northern Mindanao),CAMIGUIN,Mobility Disability,72.0,92.0,342.0,1869.0,2194,92431
Region X (Northern Mindanao),CAMIGUIN,Self-Care Disability,81.0,63.0,101.0,633.0,810,92431
Region X (Northern Mindanao),CAMIGUIN,Visual Disability,142.0,296.0,1787.0,3834.0,5598,92431
Region X (Northern Mindanao),LANAO DEL NORTE,Cognitive Disability,77.0,99.0,237.0,626.0,11358,1095270
Region X (Northern Mindanao),LANAO DEL NORTE,Communication Disability,114.0,92.0,84.0,226.0,5622,1095270
Region X (Northern Mindanao),LANAO DEL NORTE,Hearing Disability,52.0,71.0,187.0,897.0,13206,1095270
Region X (Northern Mindanao),LANAO DEL NORTE,Mobility Disability,55.0,58.0,186.0,798.0,11997,1095270
Region X (Northern Mindanao),LANAO DEL NORTE,Self-Care Disability,138.0,47.0,62.0,310.0,6085,1095270
Region X (Northern Mindanao),LANAO DEL NORTE,Visual Disability,95.0,202.0,1059.0,2012.0,36863,1095270
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Cognitive Disability,98.0,128.0,347.0,1249.0,11416,627158
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Communication Disability,126.0,114.0,113.0,361.0,4467,627158
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Hearing Disability,63.0,96.0,282.0,1761.0,13798,627158
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Mobility Disability,74.0,84.0,289.0,1550.0,12513,627158
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Self-Care Disability,97.0,61.0,94.0,500.0,4704,627158
Region X (Northern Mindanao),MISAMIS OCCIDENTAL,Visual Disability,126.0,259.0,1933.0,4255.0,41209,627158
Region X (Northern Mindanao),MISAMIS ORIENTAL,Cognitive Disability,77.0,128.0,273.0,765.0,20999,1692002
Region X (Northern Mindanao),MISAMIS ORIENTAL,Communication Disability,115.0,108.0,97.0,239.0,9435,1692002
Region X (Northern Mindanao),MISAMIS ORIENTAL,Hearing Disability,65.0,94.0,227.0,1122.0,25475,1692002
Region X (Northern Mindanao),MISAMIS ORIENTAL,Mobility Disability,61.0,78.0,241.0,1095.0,24922,1692002
