Region,Province,Sex,Disability,Status,Household Population 5 Years Old and Over with Functional Difficulty,Gender Population,Gender affected by disability per 100k
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Severe,758,2007990.5,37
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Mild,20217,2007990.5,1006
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Moderate,3462,2007990.5,172
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Severe,1651,2007990.5,82
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Mild,6066,2007990.5,302
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Moderate,1561,2007990.5,77
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Severe,1863,2007990.5,92
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Mild,116805,2007990.5,5817
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Moderate,6961,2007990.5,346
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Severe,905,2007990.5,45
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Mild,7999,2007990.5,398
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Moderate,1466,2007990.5,73
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Severe,614,2007990.5,30
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Mild,5134,2007990.5,255
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Moderate,1739,2007990.5,86
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Severe,1610,2007990.5,80
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Mild,14185,2007990.5,706
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Moderate,1477,2007990.5,73
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Severe,678,2007990.5,33
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Mild,14208,2007990.5,707
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Moderate,2839,2007990.5,141
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Severe,1249,2007990.5,62
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Mild,4960,2007990.5,247
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Moderate,1462,2007990.5,72
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Severe,1561,2007990.5,77
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Mild,80980,2007990.5,4032
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Moderate,4609,2007990.5,229
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Severe,853,2007990.5,42
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Mild,14921,2480466.5,601
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Moderate,2436,2480466.5,98
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Severe,878,2480466.5,35
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Mild,6288,2480466.5,253
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Moderate,2354,2480466.5,94
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Severe,2131,2480466.5,85
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Mild,22541,2480466.5,908
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Moderate,2347,2480466.5,94
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Severe,886,2480466.5,35
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Mild,25620,2480466.5,1032
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Moderate,4885,2480466.5,196
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Severe,2095,2480466.5,84
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Mild,7517,2480466.5,303
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Moderate,2347,2480466.5,94
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Severe,2186,2480466.5,88
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Mild,136329,2480466.5,5496
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Moderate,8720,2480466.5,351
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Severe,1179,2480466.5,47
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Mild,9964,2480466.5,401
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Moderate,1911,2480466.5,77
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Severe,900,2480466.5,36
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Mild,6353,2480466.5,256
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Moderate,2326,2480466.5,93
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Severe,2029,2480466.5,81
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Mild,16348,2480466.5,659
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Moderate,1844,2480466.5,74
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Severe,881,2480466.5,35
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Mild,17338,2480466.5,698
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Moderate,3780,2480466.5,152
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Severe,1682,2480466.5,67
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Mild,6083,2480466.5,245
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Moderate,1914,2480466.5,77
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Severe,1852,2480466.5,74
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Mild,94854,2480466.5,3824
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Moderate,6016,2480466.5,242
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Severe,1089,2480466.5,43
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Mild,7524,1470411.0,511
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Moderate,1143,1470411.0,77
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Cognitive Disability,Severe,463,1470411.0,31
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Mild,3028,1470411.0,205
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Moderate,1219,1470411.0,82
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Communication Disability,Severe,1164,1470411.0,79
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Mild,15247,1470411.0,1036
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Moderate,1503,1470411.0,102
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Hearing Disability,Severe,513,1470411.0,34
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Mild,14414,1470411.0,980
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Moderate,2620,1470411.0,178
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Mobility Disability,Severe,1106,1470411.0,75
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Mild,3321,1470411.0,225
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Moderate,1040,1470411.0,70
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Self-Care Disability,Severe,1306,1470411.0,88
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Mild,107819,1470411.0,7332
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Moderate,6404,1470411.0,435
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Female,Visual Disability,Severe,684,1470411.0,46
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Mild,5136,1470411.0,349
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Moderate,1024,1470411.0,69
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Cognitive Disability,Severe,495,1470411.0,33
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Mild,3179,1470411.0,216
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Moderate,1226,1470411.0,83
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Communication Disability,Severe,1222,1470411.0,83
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Mild,12116,1470411.0,823
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Moderate,1166,1470411.0,79
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Hearing Disability,Severe,502,1470411.0,34
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Mild,10958,1470411.0,745
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Moderate,2396,1470411.0,162
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Mobility Disability,Severe,1066,1470411.0,72
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Mild,2833,1470411.0,192
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Moderate,1033,1470411.0,70
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Self-Care Disability,Severe,1250,1470411.0,85
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Mild,77027,1470411.0,5238
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Moderate,4327,1470411.0,294
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Male,Visual Disability,Severe,629,1470411.0,42
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Cognitive Disability,Mild,10090,387051.0,2606
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Cognitive Disability,Moderate,1066,387051.0,275
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Cognitive Disability,Severe,259,387051.0,66
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Communication Disability,Mild,1315,387051.0,339
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Communication Disability,Moderate,570,387051.0,147
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Communication Disability,Severe,514,387051.0,132
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Hearing Disability,Mild,6766,387051.0,1748
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Hearing Disability,Moderate,945,387051.0,244
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Hearing Disability,Severe,237,387051.0,61
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Mobility Disability,Mild,6288,387051.0,1624
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Mobility Disability,Moderate,1178,387051.0,304
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Mobility Disability,Severe,594,387051.0,153
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Self-Care Disability,Mild,1351,387051.0,349
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Self-Care Disability,Moderate,495,387051.0,127
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Self-Care Disability,Severe,663,387051.0,171
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Visual Disability,Mild,28675,387051.0,7408
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Visual Disability,Moderate,2365,387051.0,611
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Female,Visual Disability,Severe,278,387051.0,71
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Cognitive Disability,Mild,8255,387051.0,2132
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Cognitive Disability,Moderate,884,387051.0,228
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Cognitive Disability,Severe,251,387051.0,64
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Communication Disability,Mild,1536,387051.0,396
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Communication Disability,Moderate,673,387051.0,173
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Communication Disability,Severe,572,387051.0,147
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Hearing Disability,Mild,6847,387051.0,1769
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Hearing Disability,Moderate,985,387051.0,254
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Hearing Disability,Severe,305,387051.0,78
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Mobility Disability,Mild,6621,387051.0,1710
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Mobility Disability,Moderate,1355,387051.0,350
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Mobility Disability,Severe,555,387051.0,143
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Self-Care Disability,Mild,1356,387051.0,350
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Self-Care Disability,Moderate,527,387051.0,136
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Self-Care Disability,Severe,628,387051.0,162
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Visual Disability,Mild,23571,387051.0,6089
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Visual Disability,Moderate,2031,387051.0,524
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Male,Visual Disability,Severe,253,387051.0,65
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Cognitive Disability,Mild,7510,528228.5,1421
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Cognitive Disability,Moderate,906,528228.5,171
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Cognitive Disability,Severe,246,528228.5,46
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Communication Disability,Mild,1695,528228.5,320
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Communication Disability,Moderate,709,528228.5,134
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Communication Disability,Severe,527,528228.5,99
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Hearing Disability,Mild,7810,528228.5,1478
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Hearing Disability,Moderate,935,528228.5,177
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Hearing Disability,Severe,241,528228.5,45
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Mobility Disability,Mild,7161,528228.5,1355
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Mobility Disability,Moderate,1373,528228.5,259
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Mobility Disability,Severe,634,528228.5,120
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Self-Care Disability,Mild,2042,528228.5,386
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Self-Care Disability,Moderate,621,528228.5,117
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Self-Care Disability,Severe,735,528228.5,139
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Visual Disability,Mild,36276,528228.5,6867
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Visual Disability,Moderate,2272,528228.5,430
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Female,Visual Disability,Severe,321,528228.5,60
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Cognitive Disability,Mild,6187,528228.5,1171
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Cognitive Disability,Moderate,804,528228.5,152
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Cognitive Disability,Severe,324,528228.5,61
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Communication Disability,Mild,1845,528228.5,349
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Communication Disability,Moderate,701,528228.5,132
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Communication Disability,Severe,631,528228.5,119
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Hearing Disability,Mild,7898,528228.5,1495
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Hearing Disability,Moderate,988,528228.5,187
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Hearing Disability,Severe,251,528228.5,47
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Mobility Disability,Mild,7123,528228.5,1348
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Mobility Disability,Moderate,1497,528228.5,283
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Mobility Disability,Severe,635,528228.5,120
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Self-Care Disability,Mild,2061,528228.5,390
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Self-Care Disability,Moderate,682,528228.5,129
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Self-Care Disability,Severe,758,528228.5,143
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Visual Disability,Mild,29250,528228.5,5537
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Visual Disability,Moderate,1898,528228.5,359
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Male,Visual Disability,Severe,296,528228.5,56
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Cognitive Disability,Mild,11850,1260426.0,940
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Cognitive Disability,Moderate,1728,1260426.0,137
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Cognitive Disability,Severe,565,1260426.0,44
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Communication Disability,Mild,3480,1260426.0,276
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Communication Disability,Moderate,1624,1260426.0,128
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Communication Disability,Severe,1401,1260426.0,111
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Hearing Disability,Mild,13609,1260426.0,1079
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Hearing Disability,Moderate,1689,1260426.0,134
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Hearing Disability,Severe,483,1260426.0,38
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Mobility Disability,Mild,12478,1260426.0,989
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Mobility Disability,Moderate,2575,1260426.0,204
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Mobility Disability,Severe,1310,1260426.0,103
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Self-Care Disability,Mild,3786,1260426.0,300
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Self-Care Disability,Moderate,1343,1260426.0,106
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Self-Care Disability,Severe,1513,1260426.0,120
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Visual Disability,Mild,68695,1260426.0,5450
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Visual Disability,Moderate,4374,1260426.0,347
REGION XI (DAVAO REGION),DAVAO DEL SUR,Female,Visual Disability,Severe,692,1260426.0,54
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Cognitive Disability,Mild,9533,1260426.0,756
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Cognitive Disability,Moderate,1437,1260426.0,114
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Cognitive Disability,Severe,595,1260426.0,47
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Communication Disability,Mild,4159,1260426.0,329
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Communication Disability,Moderate,1528,1260426.0,121
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Communication Disability,Severe,1335,1260426.0,105
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Hearing Disability,Mild,12204,1260426.0,968
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Hearing Disability,Moderate,1602,1260426.0,127
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Hearing Disability,Severe,552,1260426.0,43
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Mobility Disability,Mild,11938,1260426.0,947
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Mobility Disability,Moderate,2642,1260426.0,209
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Mobility Disability,Severe,1260,1260426.0,99
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Self-Care Disability,Mild,3702,1260426.0,293
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Self-Care Disability,Moderate,1354,1260426.0,107
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Self-Care Disability,Severe,1532,1260426.0,121
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Visual Disability,Mild,52434,1260426.0,4160
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Visual Disability,Moderate,3318,1260426.0,263
REGION XI (DAVAO REGION),DAVAO DEL SUR,Male,Visual Disability,Severe,626,1260426.0,49
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Cognitive Disability,Mild,3541,169462.5,2089
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Cognitive Disability,Moderate,340,169462.5,200
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Cognitive Disability,Severe,66,169462.5,38
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Communication Disability,Mild,636,169462.5,375
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Communication Disability,Moderate,235,169462.5,138
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Communication Disability,Severe,177,169462.5,104
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Hearing Disability,Mild,2202,169462.5,1299
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Hearing Disability,Moderate,236,169462.5,139
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Hearing Disability,Severe,59,169462.5,34
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Mobility Disability,Mild,2055,169462.5,1212
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Mobility Disability,Moderate,349,169462.5,205
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Mobility Disability,Severe,159,169462.5,93
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Self-Care Disability,Mild,718,169462.5,423
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Self-Care Disability,Moderate,173,169462.5,102
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Self-Care Disability,Severe,154,169462.5,90
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Visual Disability,Mild,7641,169462.5,4508
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Visual Disability,Moderate,588,169462.5,346
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Female,Visual Disability,Severe,86,169462.5,50
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Cognitive Disability,Mild,3012,169462.5,1777
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Cognitive Disability,Moderate,294,169462.5,173
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Cognitive Disability,Severe,72,169462.5,42
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Communication Disability,Mild,715,169462.5,421
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Communication Disability,Moderate,207,169462.5,122
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Communication Disability,Severe,176,169462.5,103
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Hearing Disability,Mild,2238,169462.5,1320
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Hearing Disability,Moderate,298,169462.5,175
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Hearing Disability,Severe,79,169462.5,46
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Mobility Disability,Mild,2054,169462.5,1212
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Male,Mobility Disability,Moderate,420,169462.5,247
