Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,Moderate,2117,290,241,337,1249
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,Severe,877,191,123,152,411
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,All,7542,760,793,1669,4320
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Mild,6215,461,568,1409,3777
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Moderate,918,195,148,176,399
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Severe,409,104,77,84,144
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,All,11826,527,934,2326,8039
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Mild,10159,345,795,2097,6922
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Moderate,1199,95,93,161,850
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Severe,468,87,46,68,267
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,All,10769,1739,885,1383,6762
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Mild,6693,1109,505,842,4237
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Moderate,1928,255,175,262,1236
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Severe,2148,375,205,279,1289
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,All,4596,961,484,757,2394
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Mild,2792,594,268,459,1471
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Moderate,874,179,103,140,452
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Severe,930,188,113,158,471
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,All,6173,778,401,626,4368
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Mild,3901,515,237,383,2766
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Moderate,1054,76,72,122,784
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Severe,1218,187,92,121,818
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,All,10163,1810,1610,1876,4867
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Mild,6213,842,846,1053,3472
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Moderate,2033,455,358,400,820
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Severe,1917,513,406,423,575
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,All,4919,1084,882,1052,1901
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Mild,2922,502,462,629,1329
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Moderate,1040,293,197,233,317
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Severe,957,289,223,190,255
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,All,5244,726,728,824,2966
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Mild,3291,340,384,424,2143
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Moderate,993,162,161,167,503
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Severe,960,224,183,233,320
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,All,24777,1501,3575,7362,12339
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Mild,23276,1388,3347,7024,11517
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Moderate,1302,83,186,291,742
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Both Sexes,Severe,199,30,42,47,80
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,All,10020,660,1436,3200,4724
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Mild,9422,597,1347,3051,4427
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Moderate,496,40,69,124,263
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Male,Severe,102,23,20,25,34
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,All,14757,841,2139,4162,7615
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Mild,13854,791,2000,3973,7090
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Moderate,806,43,117,167,479
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Visual Disability,Female,Severe,97,7,22,22,46
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,All,4656,185,305,587,3579
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Mild,4143,114,221,501,3307
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Moderate,347,24,38,47,238
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Both Sexes,Severe,166,47,46,39,34
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,All,1770,117,155,274,1224
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Mild,1546,70,112,230,1134
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Moderate,128,13,17,24,74
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Male,Severe,96,34,26,20,16
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,All,2886,68,150,313,2355
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Mild,2597,44,109,271,2173
