Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Moderate,257,21,17,36,183
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Severe,134,37,25,36,36
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,All,1367,92,106,247,922
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Mild,1169,55,83,217,814
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Moderate,127,15,8,17,87
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Severe,71,22,15,13,21
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,All,1634,69,103,271,1191
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Mild,1441,48,84,229,1080
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Moderate,130,6,9,19,96
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Severe,63,15,10,23,15
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,All,3351,145,168,616,2422
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Mild,2619,72,118,490,1939
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Moderate,471,32,33,92,314
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Severe,261,41,17,34,169
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,All,1473,80,93,352,948
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Mild,1106,39,63,273,731
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Moderate,249,15,23,61,150
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Severe,118,26,7,18,67
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,All,1878,65,75,264,1474
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Mild,1513,33,55,217,1208
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Moderate,222,17,10,31,164
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Severe,143,15,10,16,102
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,All,1761,159,200,422,980
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Mild,1394,74,149,365,806
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Moderate,233,47,35,36,115
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Severe,134,38,16,21,59
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,All,709,96,81,181,351
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Mild,541,48,53,155,285
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Moderate,99,25,19,15,40
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Severe,69,23,9,11,26
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,All,1052,63,119,241,629
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Mild,853,26,96,210,521
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Moderate,134,22,16,21,75
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Severe,65,15,7,10,33
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,All,957,162,96,148,551
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Mild,505,66,46,89,304
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Moderate,209,37,31,32,109
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Severe,243,59,19,27,138
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,All,472,97,54,93,228
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Mild,253,41,26,63,123
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Moderate,104,21,20,17,46
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Severe,115,35,8,13,59
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,All,485,65,42,55,323
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Mild,252,25,20,26,181
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Moderate,105,16,11,15,63
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Severe,128,24,11,14,79
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,All,1137,265,204,247,421
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Mild,573,100,85,118,270
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Moderate,265,74,62,58,71
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Severe,299,91,57,71,80
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,All,609,162,110,134,203
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Mild,306,62,43,70,131
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Moderate,140,41,37,27,35
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Severe,163,59,30,37,37
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,All,528,103,94,113,218
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Mild,267,38,42,48,139
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Moderate,125,33,25,31,36
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Severe,136,32,27,34,43
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,All,1752,61,131,595,965
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Mild,1659,55,122,580,902
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Moderate,86,3,9,14,60
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Severe,7,3,0,1,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,All,731,26,41,257,407
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Mild,698,22,38,250,388
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Moderate,29,2,3,6,18
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Severe,4,2,0,1,1
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,All,1021,35,90,338,558
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Mild,961,33,84,330,514
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Moderate,57,1,6,8,42
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Severe,3,1,0,0,2
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,All,427,17,30,75,305
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Mild,390,14,24,67,285
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Moderate,26,0,3,5,18
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Severe,11,3,3,3,2
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,All,201,9,12,40,140
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Mild,184,8,11,34,131
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Moderate,10,0,0,3,7
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Severe,7,1,1,3,2
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,All,226,8,18,35,165
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Mild,206,6,13,33,154
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Moderate,16,0,3,2,11
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Severe,4,2,2,0,0
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,All,343,14,25,64,240
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Mild,273,6,19,46,202
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Moderate,51,3,6,14,28
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Severe,19,5,0,4,10
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,All,153,9,9,40,95
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Mild,122,5,8,28,81
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Moderate,23,2,1,9,11
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Severe,8,2,0,3,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,All,190,5,16,24,145
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Mild,151,1,11,18,121
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Moderate,28,1,5,5,17
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Severe,11,3,0,1,7
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,All,215,10,17,48,140
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Mild,191,6,15,45,125
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Moderate,18,2,2,2,12
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Severe,6,2,0,1,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,All,85,4,5,20,56
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Mild,73,3,5,18,47
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Moderate,9,1,0,1,7
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Severe,3,0,0,1,2
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,All,130,6,12,28,84
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Mild,118,3,10,27,78
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Moderate,9,1,2,1,5
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Severe,3,2,0,0,1
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,All,122,13,17,19,73
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Mild,71,5,8,14,44
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Moderate,30,2,7,3,18
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Severe,21,6,2,2,11
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,All,57,7,5,17,28
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Mild,39,3,3,14,19
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Moderate,10,1,2,1,6
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Severe,8,3,0,2,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,All,65,6,12,2,45
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Mild,32,2,5,0,25
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Moderate,20,1,5,2,12
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Severe,13,3,2,0,8
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,All,121,22,22,22,55
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Mild,81,9,10,17,45
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Moderate,20,5,7,2,6
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Severe,20,8,5,3,4
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,All,72,13,8,20,31
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Mild,51,5,5,16,25
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Moderate,10,3,2,2,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Severe,11,5,1,2,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,All,49,9,14,2,24
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Mild,30,4,5,1,20
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Moderate,10,2,5,0,3
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Severe,9,3,4,1,1
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,All,5923,458,805,2052,2608
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Mild,5574,409,745,1973,2447
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Moderate,268,32,48,57,131
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Severe,81,17,12,22,30
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,All,2361,181,280,863,1037
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Mild,2209,153,251,829,976
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Moderate,115,17,22,24,52
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Severe,37,11,7,10,9
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,All,3562,277,525,1189,1571
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Mild,3365,256,494,1144,1471
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Moderate,153,15,26,33,79
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Severe,44,6,5,12,21
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,All,1649,143,167,316,1023
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Mild,1410,105,122,266,917
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Moderate,164,17,19,35,93
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Severe,75,21,26,15,13
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,All,779,88,87,167,437
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Mild,659,62,65,136,396
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Moderate,78,12,11,22,33
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Severe,42,14,11,9,8
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,All,870,55,80,149,586
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Mild,751,43,57,130,521
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Moderate,86,5,8,13,60
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Severe,33,7,15,6,5
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,All,1786,141,114,378,1153
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Mild,1347,86,69,284,908
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Moderate,317,24,32,73,188
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Severe,122,31,13,21,57
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,All,873,75,68,224,506
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Mild,647,42,43,171,391
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Moderate,160,14,16,38,92
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Severe,66,19,9,15,23
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,All,913,66,46,154,647
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Mild,700,44,26,113,517
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Moderate,157,10,16,35,96
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Female,Severe,56,12,4,6,34
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,All,885,132,119,136,498
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Mild,682,85,73,103,421
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Moderate,146,30,31,24,61
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Both Sexes,Severe,57,17,15,9,16
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,All,375,71,63,59,182
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Mild,279,46,32,45,156
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Moderate,65,14,20,12,19
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Male,Severe,31,11,11,2,7
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,All,510,61,56,77,316
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Mild,403,39,41,58,265
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Moderate,81,16,11,12,42
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Cognitive Disability,Female,Severe,26,6,4,7,9
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,All,593,135,72,88,298
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Mild,321,74,27,42,178
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Moderate,132,22,26,24,60
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Both Sexes,Severe,140,39,19,22,60
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,All,297,78,46,47,126
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Mild,163,45,17,26,75
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Moderate,68,14,17,11,26
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Male,Severe,66,19,12,10,25
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,All,296,57,26,41,172
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Mild,158,29,10,16,103
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Moderate,64,8,9,13,34
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Self-Care Disability,Female,Severe,74,20,7,12,35
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,All,811,218,167,172,254
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Mild,427,96,70,97,164
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Moderate,207,58,49,40,60
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Both Sexes,Severe,177,64,48,35,30
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,All,433,125,95,103,110
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Mild,243,52,43,76,72
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Moderate,96,34,25,14,23
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Male,Severe,94,39,27,13,15
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,All,378,93,72,69,144
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Mild,184,44,27,21,92
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Moderate,111,24,24,26,37
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Communication Disability,Female,Severe,83,25,21,22,15
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,All,5241,292,509,1593,2847
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Mild,4858,253,474,1514,2617
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Moderate,276,21,24,60,171
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Both Sexes,Severe,107,18,11,19,59
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,All,2088,134,205,682,1067
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Mild,1925,108,184,644,989
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Moderate,119,14,14,27,64
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Male,Severe,44,12,7,11,14
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,All,3153,158,304,911,1780
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Mild,2933,145,290,870,1628
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Moderate,157,7,10,33,107
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Visual Disability,Female,Severe,63,6,4,8,45
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,All,1674,96,116,301,1161
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Mild,1391,55,74,234,1028
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Moderate,183,19,17,39,108
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Both Sexes,Severe,100,22,25,28,25
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,All,721,56,54,150,461
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Mild,590,27,35,111,417
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Moderate,73,16,8,18,31
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Male,Severe,58,13,11,21,13
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,All,953,40,62,151,700
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Mild,801,28,39,123,611
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Moderate,110,3,9,21,77
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Hearing Disability,Female,Severe,42,9,14,7,12
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,All,2159,88,94,412,1565
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Mild,1534,37,59,286,1152
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Moderate,409,22,20,79,288
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Both Sexes,Severe,216,29,15,47,125
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,All,977,59,53,239,626
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Mild,669,24,32,165,448
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Moderate,197,15,10,47,125
Region IV-A (CALABARZON),CAVITE,PH040000000,PH0402100000,Mobility Disability,Male,Severe,111,20,11,27,53
