Region,Province,Province_pcode,Population
Region XIII (Caraga),Surigao Del Norte,PH166700000,15657
Region XIII (Caraga),Surigao Del Norte,PH166700000,4112
Region XIII (Caraga),Surigao Del Norte,PH166700000,44013
Region XIII (Caraga),Surigao Del Norte,PH166700000,24392
Region XIII (Caraga),Surigao Del Norte,PH166700000,19484
Region XIII (Caraga),Surigao Del Norte,PH166700000,18444
Region XIII (Caraga),Surigao Del Norte,PH166700000,22824
Region XIII (Caraga),Surigao Del Norte,PH166700000,27622
Region XIII (Caraga),Surigao Del Norte,PH166700000,18190
Region XIII (Caraga),Surigao Del Norte,PH166700000,9952
Region XIII (Caraga),Surigao Del Norte,PH166700000,29405
Region XIII (Caraga),Surigao Del Norte,PH166700000,5509
Region XIII (Caraga),Surigao Del Norte,PH166700000,15658
Region XIII (Caraga),Surigao Del Norte,PH166700000,7605
Region XIII (Caraga),Surigao Del Norte,PH166700000,9032
Region XIII (Caraga),Surigao Del Norte,PH166700000,14943
Region XIII (Caraga),Surigao Del Norte,PH166700000,24168
Region XIII (Caraga),Surigao Del Norte,PH166700000,166627
Region XIII (Caraga),Surigao Del Norte,PH166700000,17340
Region XIII (Caraga),Surigao Del Norte,PH166700000,15796
Region XIII (Caraga),Surigao Del Sur,PH166800000,54910
Region XIII (Caraga),Surigao Del Sur,PH166800000,8378
Region XIII (Caraga),Surigao Del Sur,PH166800000,93924
Region XIII (Caraga),Surigao Del Sur,PH166800000,21461
Region XIII (Caraga),Surigao Del Sur,PH166800000,32304
Region XIII (Caraga),Surigao Del Sur,PH166800000,10614
Region XIII (Caraga),Surigao Del Sur,PH166800000,28715
Region XIII (Caraga),Surigao Del Sur,PH166800000,16323
Region XIII (Caraga),Surigao Del Sur,PH166800000,40871
Region XIII (Caraga),Surigao Del Sur,PH166800000,12329
Region XIII (Caraga),Surigao Del Sur,PH166800000,30261
Region XIII (Caraga),Surigao Del Sur,PH166800000,31500
Region XIII (Caraga),Surigao Del Sur,PH166800000,15616
Region XIII (Caraga),Surigao Del Sur,PH166800000,19059
Region XIII (Caraga),Surigao Del Sur,PH166800000,24487
Region XIII (Caraga),Surigao Del Sur,PH166800000,41619
Region XIII (Caraga),Surigao Del Sur,PH166800000,42195
Region XIII (Caraga),Surigao Del Sur,PH166800000,36469
Region XIII (Caraga),Surigao Del Sur,PH166800000,59496
Region XIII (Caraga),Dinagat Islands,PH168500000,38540
Region XIII (Caraga),Dinagat Islands,PH168500000,17945
Region XIII (Caraga),Dinagat Islands,PH168500000,10645
Region XIII (Caraga),Dinagat Islands,PH168500000,17902
Region XIII (Caraga),Dinagat Islands,PH168500000,9437
Region XIII (Caraga),Dinagat Islands,PH168500000,27521
Region XIII (Caraga),Dinagat Islands,PH168500000,8681
MIMAROPA Region,Marinduque,PH174000000,56519
MIMAROPA Region,Marinduque,PH174000000,24844
MIMAROPA Region,Marinduque,PH174000000,36225
MIMAROPA Region,Marinduque,PH174000000,34678
MIMAROPA Region,Marinduque,PH174000000,57115
MIMAROPA Region,Marinduque,PH174000000,31655
MIMAROPA Region,Occidental Mindoro,PH175100000,32596
MIMAROPA Region,Occidental Mindoro,PH175100000,30740
MIMAROPA Region,Occidental Mindoro,PH175100000,10402
MIMAROPA Region,Occidental Mindoro,PH175100000,18872
MIMAROPA Region,Occidental Mindoro,PH175100000,39313
MIMAROPA Region,Occidental Mindoro,PH175100000,45686
MIMAROPA Region,Occidental Mindoro,PH175100000,16415
MIMAROPA Region,Occidental Mindoro,PH175100000,41204
MIMAROPA Region,Occidental Mindoro,PH175100000,88179
MIMAROPA Region,Occidental Mindoro,PH175100000,152224
MIMAROPA Region,Occidental Mindoro,PH175100000,39503
MIMAROPA Region,Oriental Mindoro,PH175200000,39215
MIMAROPA Region,Oriental Mindoro,PH175200000,43488
MIMAROPA Region,Oriental Mindoro,PH175200000,77367
MIMAROPA Region,Oriental Mindoro,PH175200000,44730
MIMAROPA Region,Oriental Mindoro,PH175200000,143181
MIMAROPA Region,Oriental Mindoro,PH175200000,47973
MIMAROPA Region,Oriental Mindoro,PH175200000,57121
MIMAROPA Region,Oriental Mindoro,PH175200000,111260
MIMAROPA Region,Oriental Mindoro,PH175200000,90300
MIMAROPA Region,Oriental Mindoro,PH175200000,36263
MIMAROPA Region,Oriental Mindoro,PH175200000,40752
MIMAROPA Region,Oriental Mindoro,PH175200000,56341
MIMAROPA Region,Oriental Mindoro,PH175200000,20045
MIMAROPA Region,Oriental Mindoro,PH175200000,40791
MIMAROPA Region,Oriental Mindoro,PH175200000,52443
MIMAROPA Region,Palawan,PH175300000,37696
MIMAROPA Region,Palawan,PH175300000,13179
MIMAROPA Region,Palawan,PH175300000,15925
MIMAROPA Region,Palawan,PH175300000,45390
MIMAROPA Region,Palawan,PH175300000,89823
MIMAROPA Region,Palawan,PH175300000,71007
MIMAROPA Region,Palawan,PH175300000,23180
MIMAROPA Region,Palawan,PH175300000,6586
MIMAROPA Region,Palawan,PH175300000,59574
MIMAROPA Region,Palawan,PH175300000,23974
MIMAROPA Region,Palawan,PH175300000,25803
MIMAROPA Region,Palawan,PH175300000,46328
MIMAROPA Region,Palawan,PH175300000,16990
MIMAROPA Region,Palawan,PH175300000,12780
MIMAROPA Region,Palawan,PH175300000,80195
MIMAROPA Region,Palawan,PH175300000,283418
MIMAROPA Region,Palawan,PH175300000,67989
MIMAROPA Region,Palawan,PH175300000,70681
MIMAROPA Region,Palawan,PH175300000,32838
MIMAROPA Region,Palawan,PH175300000,79336
MIMAROPA Region,Palawan,PH175300000,193
MIMAROPA Region,Palawan,PH175300000,21175
MIMAROPA Region,Palawan,PH175300000,56492
MIMAROPA Region,Palawan,PH175300000,35457
MIMAROPA Region,Romblon,PH175900000,17210
MIMAROPA Region,Romblon,PH175900000,5600
MIMAROPA Region,Romblon,PH175900000,22429
MIMAROPA Region,Romblon,PH175900000,10731
MIMAROPA Region,Romblon,PH175900000,4083
MIMAROPA Region,Romblon,PH175900000,10586
MIMAROPA Region,Romblon,PH175900000,22591
MIMAROPA Region,Romblon,PH175900000,14638
MIMAROPA Region,Romblon,PH175900000,46860
MIMAROPA Region,Romblon,PH175900000,39360
MIMAROPA Region,Romblon,PH175900000,22985
MIMAROPA Region,Romblon,PH175900000,16082
MIMAROPA Region,Romblon,PH175900000,23974
MIMAROPA Region,Romblon,PH175900000,11424
MIMAROPA Region,Romblon,PH175900000,16427
MIMAROPA Region,Romblon,PH175900000,7096
MIMAROPA Region,Romblon,PH175900000,9331
