Disability,Region,Status,RegCode_New,Province,Household Population 5 Years Old and Over with Functional Difficulty,Province_pcode,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,MIMAROPA Region,Moderate,PH1700000000,PALAWAN,2442,PH175300000,1216009,201.0,2.303196057420489
Cognitive Disability,MIMAROPA Region,Moderate,PH1700000000,ROMBLON,1164,PH175900000,301407,387.0,2.5877109650189114
Cognitive Disability,MIMAROPA Region,Severe,PH1700000000,MARINDUQUE,269,PH174000000,241036,112.0,2.0492180226701815
Cognitive Disability,MIMAROPA Region,Severe,PH1700000000,OCCIDENTAL MINDORO,250,PH175100000,515134,49.0,1.6901960800285136
Cognitive Disability,MIMAROPA Region,Severe,PH1700000000,ORIENTAL MINDORO,594,PH175200000,901270,66.0,1.8195439355418688
Cognitive Disability,MIMAROPA Region,Severe,PH1700000000,PALAWAN,611,PH175300000,1216009,51.0,1.7075701760979363
Cognitive Disability,MIMAROPA Region,Severe,PH1700000000,ROMBLON,278,PH175900000,301407,93.0,1.968482948553935
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",16374,PH133900000,1886920,868.0,2.938519725176492
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",20145,PH137600000,4015981,502.0,2.7007037171450192
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",24885,PH137400000,4960933,502.0,2.7007037171450192
Cognitive Disability,National Capital Region (NCR),Mild,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",12660,PH137500000,2940822,431.0,2.6344772701607315
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",2117,PH133900000,1886920,113.0,2.0530784434834195
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",3192,PH137600000,4015981,80.0,1.9030899869919435
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",4347,PH137400000,4960933,88.0,1.9444826721501687
Cognitive Disability,National Capital Region (NCR),Moderate,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",2167,PH137500000,2940822,74.0,1.8692317197309762
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",877,PH133900000,1886920,47.0,1.6720978579357175
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",1286,PH137600000,4015981,33.0,1.5185139398778875
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1778,PH137400000,4960933,36.0,1.5563025007672873
Cognitive Disability,National Capital Region (NCR),Severe,PH130000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",958,PH137500000,2940822,33.0,1.5185139398778875
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,COMPOSTELA VALLEY,18345,PH118200000,774102,2370.0,3.374748346010104
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO DEL NORTE,13697,PH112300000,1056457,1297.0,3.11293997608408
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO DEL SUR,21383,PH112400000,2520852,849.0,2.928907690243953
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO OCCIDENTAL,6553,PH118600000,338925,1934.0,3.286456469746983
