Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Cognitive Disability,Male,Mild,PH175300000,9059,344,849,2587,5279
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Cognitive Disability,Male,Moderate,PH175300000,1073,144,156,174,599
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Cognitive Disability,Male,Severe,PH175300000,312,100,58,55,99
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Both Sexes,All,PH175300000,8024,1601,1430,1409,3584
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Both Sexes,Mild,PH175300000,5010,715,734,905,2656
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Both Sexes,Moderate,PH175300000,1704,434,368,289,613
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Both Sexes,Severe,PH175300000,1310,452,328,215,315
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Female,All,PH175300000,3978,707,675,661,1935
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Female,Mild,PH175300000,2488,330,330,401,1427
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Female,Moderate,PH175300000,878,197,191,152,338
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Female,Severe,PH175300000,612,180,154,108,170
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Male,All,PH175300000,4046,894,755,748,1649
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Male,Mild,PH175300000,2522,385,404,504,1229
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Male,Moderate,PH175300000,826,237,177,137,275
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Communication Disability,Male,Severe,PH175300000,698,272,174,107,145
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Both Sexes,All,PH175300000,28799,1238,1902,5507,20152
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Both Sexes,Mild,PH175300000,24910,871,1504,5012,17523
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Both Sexes,Moderate,PH175300000,3207,215,237,373,2382
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Both Sexes,Severe,PH175300000,682,152,161,122,247
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Female,All,PH175300000,14390,548,931,2613,10298
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Female,Mild,PH175300000,12494,391,742,2402,8959
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Female,Moderate,PH175300000,1587,102,115,154,1216
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Female,Severe,PH175300000,309,55,74,57,123
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Male,All,PH175300000,14409,690,971,2894,9854
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Male,Mild,PH175300000,12416,480,762,2610,8564
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Male,Moderate,PH175300000,1620,113,122,219,1166
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Hearing Disability,Male,Severe,PH175300000,373,97,87,65,124
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Both Sexes,All,PH175300000,25964,1041,1412,4672,18839
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Both Sexes,Mild,PH175300000,20325,533,997,3784,15011
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Both Sexes,Moderate,PH175300000,4153,256,283,701,2913
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Both Sexes,Severe,PH175300000,1486,252,132,187,915
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Female,All,PH175300000,13106,454,569,1976,10107
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Female,Mild,PH175300000,10347,233,396,1649,8069
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Female,Moderate,PH175300000,2001,111,113,248,1529
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Female,Severe,PH175300000,758,110,60,79,509
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Male,All,PH175300000,12858,587,843,2696,8732
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Male,Mild,PH175300000,9978,300,601,2135,6942
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Male,Moderate,PH175300000,2152,145,170,453,1384
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Mobility Disability,Male,Severe,PH175300000,728,142,72,108,406
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Both Sexes,All,PH175300000,7853,1405,735,1032,4681
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Both Sexes,Mild,PH175300000,4805,754,403,679,2969
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Both Sexes,Moderate,PH175300000,1382,253,135,177,817
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Both Sexes,Severe,PH175300000,1666,398,197,176,895
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Female,All,PH175300000,4028,632,348,462,2586
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Female,Mild,PH175300000,2525,373,193,306,1653
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Female,Moderate,PH175300000,674,99,58,81,436
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Female,Severe,PH175300000,829,160,97,75,497
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Male,All,PH175300000,3825,773,387,570,2095
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Male,Mild,PH175300000,2280,381,210,373,1316
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Male,Moderate,PH175300000,708,154,77,96,381
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Self-Care Disability,Male,Severe,PH175300000,837,238,100,101,398
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Both Sexes,All,PH175300000,101524,2040,6065,37997,55422
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Both Sexes,Mild,PH175300000,93207,1697,5606,36265,49639
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Both Sexes,Moderate,PH175300000,7616,248,389,1611,5368
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Both Sexes,Severe,PH175300000,701,95,70,121,415
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Female,All,PH175300000,54672,1102,3780,20606,29184
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Female,Mild,PH175300000,50164,950,3553,19712,25949
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Female,Moderate,PH175300000,4146,123,190,841,2992
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Female,Severe,PH175300000,362,29,37,53,243
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Male,All,PH175300000,46852,938,2285,17391,26238
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Male,Mild,PH175300000,43043,747,2053,16553,23690
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Male,Moderate,PH175300000,3470,125,199,770,2376
MIMAROPA Region,PALAWAN,PH1700000000,PH1705300000,Visual Disability,Male,Severe,PH175300000,339,66,33,68,172
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Both Sexes,All,PH175900000,9861,368,696,2233,6564
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Both Sexes,Mild,PH175900000,8419,199,534,2027,5659
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Both Sexes,Moderate,PH175900000,1164,99,114,162,789
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Both Sexes,Severe,PH175900000,278,70,48,44,116
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Female,All,PH175900000,6021,188,398,1313,4122
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Female,Mild,PH175900000,5152,102,324,1210,3516
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Female,Moderate,PH175900000,717,51,54,82,530
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Female,Severe,PH175900000,152,35,20,21,76
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Male,All,PH175900000,3840,180,298,920,2442
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Male,Mild,PH175900000,3267,97,210,817,2143
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Male,Moderate,PH175900000,447,48,60,80,259
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Cognitive Disability,Male,Severe,PH175900000,126,35,28,23,40
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Both Sexes,All,PH175900000,2823,520,444,430,1429
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Both Sexes,Mild,PH175900000,1537,203,163,206,965
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Both Sexes,Moderate,PH175900000,789,172,163,138,316
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Both Sexes,Severe,PH175900000,497,145,118,86,148
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Female,All,PH175900000,1435,223,189,188,835
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Female,Mild,PH175900000,796,78,71,87,560
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Female,Moderate,PH175900000,398,79,71,55,193
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Female,Severe,PH175900000,241,66,47,46,82
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Male,All,PH175900000,1388,297,255,242,594
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Male,Mild,PH175900000,741,125,92,119,405
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Male,Moderate,PH175900000,391,93,92,83,123
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Communication Disability,Male,Severe,PH175900000,256,79,71,40,66
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Both Sexes,All,PH175900000,9238,316,433,1288,7201
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Both Sexes,Mild,PH175900000,7770,203,315,1127,6125
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Both Sexes,Moderate,PH175900000,1230,56,69,120,985
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Both Sexes,Severe,PH175900000,238,57,49,41,91
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Female,All,PH175900000,5052,143,192,585,4132
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Female,Mild,PH175900000,4282,93,144,518,3527
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Female,Moderate,PH175900000,668,24,33,43,568
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Female,Severe,PH175900000,102,26,15,24,37
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Male,All,PH175900000,4186,173,241,703,3069
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Male,Mild,PH175900000,3488,110,171,609,2598
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Male,Moderate,PH175900000,562,32,36,77,417
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Hearing Disability,Male,Severe,PH175900000,136,31,34,17,54
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Both Sexes,All,PH175900000,10894,326,387,1592,8589
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Both Sexes,Mild,PH175900000,8188,147,236,1207,6598
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Both Sexes,Moderate,PH175900000,1994,72,88,293,1541
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Both Sexes,Severe,PH175900000,712,107,63,92,450
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Female,All,PH175900000,5969,146,148,610,5065
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Female,Mild,PH175900000,4506,68,81,480,3877
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Female,Moderate,PH175900000,1061,26,38,90,907
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Female,Severe,PH175900000,402,52,29,40,281
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Male,All,PH175900000,4925,180,239,982,3524
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Male,Mild,PH175900000,3682,79,155,727,2721
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Male,Moderate,PH175900000,933,46,50,203,634
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Mobility Disability,Male,Severe,PH175900000,310,55,34,52,169
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Both Sexes,All,PH175900000,3043,411,209,338,2085
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Both Sexes,Mild,PH175900000,1586,209,76,153,1148
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Both Sexes,Moderate,PH175900000,668,69,61,96,442
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Both Sexes,Severe,PH175900000,789,133,72,89,495
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Female,All,PH175900000,1668,197,95,135,1241
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Female,Mild,PH175900000,854,102,40,53,659
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Female,Moderate,PH175900000,363,31,24,43,265
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Female,Severe,PH175900000,451,64,31,39,317
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Male,All,PH175900000,1375,214,114,203,844
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Male,Mild,PH175900000,732,107,36,100,489
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Male,Moderate,PH175900000,305,38,37,53,177
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Self-Care Disability,Male,Severe,PH175900000,338,69,41,50,178
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Both Sexes,All,PH175900000,34772,724,1648,11106,21294
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Both Sexes,Mild,PH175900000,31605,602,1519,10511,18973
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Both Sexes,Moderate,PH175900000,2853,90,102,550,2111
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Both Sexes,Severe,PH175900000,314,32,27,45,210
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Female,All,PH175900000,20530,415,1102,6245,12768
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Female,Mild,PH175900000,18626,363,1039,5948,11276
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Female,Moderate,PH175900000,1723,35,52,276,1360
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Female,Severe,PH175900000,181,17,11,21,132
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Male,All,PH175900000,14242,309,546,4861,8526
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Male,Mild,PH175900000,12979,239,480,4563,7697
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Male,Moderate,PH175900000,1130,55,50,274,751
MIMAROPA Region,ROMBLON,PH1700000000,PH1705900000,Visual Disability,Male,Severe,PH175900000,133,15,16,24,78
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,All,PH133900000,19368,1287,1727,3995,12359
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,Mild,PH133900000,16374,806,1363,3506,10699
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,Moderate,PH133900000,2117,290,241,337,1249
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Both Sexes,Severe,PH133900000,877,191,123,152,411
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,All,PH133900000,11826,527,934,2326,8039
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Mild,PH133900000,10159,345,795,2097,6922
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Moderate,PH133900000,1199,95,93,161,850
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Female,Severe,PH133900000,468,87,46,68,267
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,All,PH133900000,7542,760,793,1669,4320
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Mild,PH133900000,6215,461,568,1409,3777
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Moderate,PH133900000,918,195,148,176,399
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Cognitive Disability,Male,Severe,PH133900000,409,104,77,84,144
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,All,PH133900000,10163,1810,1610,1876,4867
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Mild,PH133900000,6213,842,846,1053,3472
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Moderate,PH133900000,2033,455,358,400,820
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Both Sexes,Severe,PH133900000,1917,513,406,423,575
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,All,PH133900000,5244,726,728,824,2966
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Mild,PH133900000,3291,340,384,424,2143
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Moderate,PH133900000,993,162,161,167,503
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Female,Severe,PH133900000,960,224,183,233,320
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,All,PH133900000,4919,1084,882,1052,1901
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Mild,PH133900000,2922,502,462,629,1329
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Moderate,PH133900000,1040,293,197,233,317
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Communication Disability,Male,Severe,PH133900000,957,289,223,190,255
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,All,PH133900000,29409,1137,1760,4979,21533
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Mild,PH133900000,26053,766,1357,4426,19504
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Moderate,PH133900000,2423,198,189,345,1691
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Severe,PH133900000,933,173,214,208,338
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,All,PH133900000,17134,535,899,2558,13142
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Mild,PH133900000,15278,369,706,2274,11929
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Moderate,PH133900000,1383,87,90,184,1022
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Severe,PH133900000,473,79,103,100,191
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,All,PH133900000,12275,602,861,2421,8391
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Mild,PH133900000,10775,397,651,2152,7575
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Moderate,PH133900000,1040,111,99,161,669
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Severe,PH133900000,460,94,111,108,147
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Both Sexes,All,PH133900000,35367,1034,1341,5574,27418
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Both Sexes,Mild,PH133900000,28745,604,953,4511,22677
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Both Sexes,Moderate,PH133900000,4564,190,218,751,3405
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Both Sexes,Severe,PH133900000,2058,240,170,312,1336
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Female,All,PH133900000,21384,462,603,2682,17637
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Female,Mild,PH133900000,17568,271,431,2247,14619
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Female,Moderate,PH133900000,2634,75,91,303,2165
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Female,Severe,PH133900000,1182,116,81,132,853
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Male,All,PH133900000,13983,572,738,2892,9781
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Male,Mild,PH133900000,11177,333,522,2264,8058
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Male,Moderate,PH133900000,1930,115,127,448,1240
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Male,Severe,PH133900000,876,124,89,180,483
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,All,PH133900000,10769,1739,885,1383,6762
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Mild,PH133900000,6693,1109,505,842,4237
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Moderate,PH133900000,1928,255,175,262,1236
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Both Sexes,Severe,PH133900000,2148,375,205,279,1289
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,All,PH133900000,6173,778,401,626,4368
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Mild,PH133900000,3901,515,237,383,2766
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Moderate,PH133900000,1054,76,72,122,784
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Female,Severe,PH133900000,1218,187,92,121,818
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,All,PH133900000,4596,961,484,757,2394
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Mild,PH133900000,2792,594,268,459,1471
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Moderate,PH133900000,874,179,103,140,452
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Self-Care Disability,Male,Severe,PH133900000,930,188,113,158,471
