Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Female,Mild,PH150700000,1536,55,71,246,1164
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Female,Moderate,PH150700000,118,6,5,15,92
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Female,Severe,PH150700000,32,10,4,7,11
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Male,All,PH150700000,1540,94,86,268,1092
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Male,Mild,PH150700000,1391,73,78,251,989
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Male,Moderate,PH150700000,113,9,5,12,87
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Hearing Disability,Male,Severe,PH150700000,36,12,3,5,16
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Both Sexes,All,PH150700000,3161,146,163,620,2232
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Both Sexes,Mild,PH150700000,2759,113,133,550,1963
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Both Sexes,Moderate,PH150700000,320,16,17,57,230
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Both Sexes,Severe,PH150700000,82,17,13,13,39
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Female,All,PH150700000,1671,60,67,290,1254
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Female,Mild,PH150700000,1470,44,53,262,1111
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Female,Moderate,PH150700000,157,7,10,19,121
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Female,Severe,PH150700000,44,9,4,9,22
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Male,All,PH150700000,1490,86,96,330,978
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Male,Mild,PH150700000,1289,69,80,288,852
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Male,Moderate,PH150700000,163,9,7,38,109
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Mobility Disability,Male,Severe,PH150700000,38,8,9,4,17
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Both Sexes,All,PH150700000,1377,197,130,208,842
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Both Sexes,Mild,PH150700000,1114,139,101,167,707
